Year,Units,title,sex,Bundesland,GeoCode,Value
1996,percentage (%),foreign school graduates,,,,80.4
1997,percentage (%),foreign school graduates,,,,80.6
1998,percentage (%),foreign school graduates,,,,80.5
1999,percentage (%),foreign school graduates,,,,80.7
2000,percentage (%),foreign school graduates,,,,80.1
2001,percentage (%),foreign school graduates,,,,79.8
2002,percentage (%),foreign school graduates,,,,80.6
2003,percentage (%),foreign school graduates,,,,80.9
2004,percentage (%),foreign school graduates,,,,81.9
2005,percentage (%),foreign school graduates,,,,82.6
2006,percentage (%),foreign school graduates,,,,83.2
2007,percentage (%),foreign school graduates,,,,84.0
2008,percentage (%),foreign school graduates,,,,85.0
2009,percentage (%),foreign school graduates,,,,86.2
2010,percentage (%),foreign school graduates,,,,87.2
2011,percentage (%),foreign school graduates,,,,88.2
2012,percentage (%),foreign school graduates,,,,88.6
2013,percentage (%),foreign school graduates,,,,89.3
2014,percentage (%),foreign school graduates,,,,88.1
2015,percentage (%),foreign school graduates,,,,88.2
2016,percentage (%),foreign school graduates,,,,85.8
2017,percentage (%),foreign school graduates,,,,81.8
2018,percentage (%),foreign school graduates,,,,81.8
2019,percentage (%),foreign school graduates,,,,82.4
2002,percentage (%),foreign school graduates,female,,,84.4
2003,percentage (%),foreign school graduates,female,,,84.6
2004,percentage (%),foreign school graduates,female,,,85.8
2005,percentage (%),foreign school graduates,female,,,86.4
2006,percentage (%),foreign school graduates,female,,,86.5
2007,percentage (%),foreign school graduates,female,,,87.0
2008,percentage (%),foreign school graduates,female,,,87.9
2009,percentage (%),foreign school graduates,female,,,88.5
2010,percentage (%),foreign school graduates,female,,,89.5
2011,percentage (%),foreign school graduates,female,,,90.3
2012,percentage (%),foreign school graduates,female,,,90.6
2013,percentage (%),foreign school graduates,female,,,91.1
2014,percentage (%),foreign school graduates,female,,,89.4
2015,percentage (%),foreign school graduates,female,,,90.3
2016,percentage (%),foreign school graduates,female,,,89.1
2017,percentage (%),foreign school graduates,female,,,86.4
2018,percentage (%),foreign school graduates,female,,,85.6
2019,percentage (%),foreign school graduates,female,,,85.8
2002,percentage (%),foreign school graduates,male,,,76.9
2003,percentage (%),foreign school graduates,male,,,77.4
2004,percentage (%),foreign school graduates,male,,,78.3
2005,percentage (%),foreign school graduates,male,,,79.1
2006,percentage (%),foreign school graduates,male,,,80.2
2007,percentage (%),foreign school graduates,male,,,81.2
2008,percentage (%),foreign school graduates,male,,,82.3
2009,percentage (%),foreign school graduates,male,,,83.9
2010,percentage (%),foreign school graduates,male,,,85.0
2011,percentage (%),foreign school graduates,male,,,86.2
2012,percentage (%),foreign school graduates,male,,,86.7
2013,percentage (%),foreign school graduates,male,,,87.6
2014,percentage (%),foreign school graduates,male,,,86.8
2015,percentage (%),foreign school graduates,male,,,86.2
2016,percentage (%),foreign school graduates,male,,,82.9
2017,percentage (%),foreign school graduates,male,,,78.0
2018,percentage (%),foreign school graduates,male,,,78.8
2019,percentage (%),foreign school graduates,male,,,79.5
1996,percentage (%),german school graduates (share of all german leavers),,,,92.3
1997,percentage (%),german school graduates (share of all german leavers),,,,92.3
1998,percentage (%),german school graduates (share of all german leavers),,,,92.1
1999,percentage (%),german school graduates (share of all german leavers),,,,92.0
2000,percentage (%),german school graduates (share of all german leavers),,,,91.7
2001,percentage (%),german school graduates (share of all german leavers),,,,91.3
2002,percentage (%),german school graduates (share of all german leavers),,,,91.8
2003,percentage (%),german school graduates (share of all german leavers),,,,92.1
2004,percentage (%),german school graduates (share of all german leavers),,,,92.6
2005,percentage (%),german school graduates (share of all german leavers),,,,92.8
2006,percentage (%),german school graduates (share of all german leavers),,,,93.0
2007,percentage (%),german school graduates (share of all german leavers),,,,93.6
2008,percentage (%),german school graduates (share of all german leavers),,,,93.8
2009,percentage (%),german school graduates (share of all german leavers),,,,94.2
2010,percentage (%),german school graduates (share of all german leavers),,,,94.6
