Year,Units,typification,Bundesland,GeoCode,Value
2004,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-5.0959
2005,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.9705
2006,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.8484
2007,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.7275
2008,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.6092
2009,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.33
2010,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.0355
2011,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-4.2225
2012,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-3.7983
2013,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-3.6363
2014,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-3.693
2015,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-2.8764
2016,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-2.7155
2017,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-2.7638
2018,m2/(inhabitant*a),a) rural and non-rural areas,a) germany (total),,-2.7461
2004,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-3.5635
2005,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-3.2946
2006,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-3.1716
2007,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-3.1669
2008,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-3.1182
2009,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.9779
2010,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.7443
2011,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.4076
2012,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.2775
2013,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.1429
2014,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-2.0282
2015,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-1.9178
2016,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-1.7003
2017,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-1.8802
2018,m2/(inhabitant*a),a) rural and non-rural areas,bw,code08,-1.8098
2004,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-5.3065
2005,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-4.8676
2006,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-5.0365
2007,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-4.9669
2008,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-5.04
2009,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-5.0761
2010,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-5.0905
2011,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-8.4731
2012,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-8.1536
2013,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-7.867
2014,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-7.1199
2015,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-3.4936
2016,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-3.2783
2017,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-3.1865
2018,m2/(inhabitant*a),a) rural and non-rural areas,by,code09,-3.1153
2004,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.295
2005,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.2947
2006,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.221
2007,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.2936
2008,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.2936
2009,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.3642
2010,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.4365
2011,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.2901
2012,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.142
2013,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.0028
2014,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.0751
2015,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,0.0751
2016,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.1577
2017,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.1517
2018,m2/(inhabitant*a),a) rural and non-rural areas,be,code11,-0.1799
2004,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-11.6269
2005,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-12.2559
2006,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-12.3935
2007,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-11.9451
2008,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-13.5762
2009,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-12.1577
2010,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-10.8136
2011,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-9.5718
2012,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-6.736
2013,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-8.4325
2014,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-7.8536
2015,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-7.335
2016,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-7.0644
2017,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-3.0841
2018,m2/(inhabitant*a),a) rural and non-rural areas,bb,code12,-2.5484
2004,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.756
2005,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.7538
2006,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.7538
2007,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.1309
2008,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.1309
2009,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.7541
2010,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.1324
2011,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.7617
2012,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.5253
2013,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.5253
2014,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.5247
2015,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-1.1413
2016,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.7276
2017,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.8304
2018,m2/(inhabitant*a),a) rural and non-rural areas,hb,code04,-0.3246
2004,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-1.5874
2005,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-2.1609
2006,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-1.8675
2007,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-1.5762
2008,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.9997
2009,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.5671
2010,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.422
2011,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.2808
2012,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.425
2013,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.5704
2014,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,-0.005
2015,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.4146
2016,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.9937
2017,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,1.224
2018,m2/(inhabitant*a),a) rural and non-rural areas,hh,code02,0.8393
2004,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.3808
2005,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.5029
2006,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.2991
2007,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.3419
2008,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.1394
2009,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.1421
2010,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.2251
2011,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.7333
2012,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.8616
2013,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.6563
2014,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.6127
2015,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.8102
2016,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-1.964
2017,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.1794
2018,m2/(inhabitant*a),a) rural and non-rural areas,he,code06,-2.0566
2004,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-18.4027
2005,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-18.0816
2006,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-16.4782
2007,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-15.2877
2008,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-16.9298
2009,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-17.6548
2010,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-17.6273
2011,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-15.611
2012,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-11.4713
2013,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-8.4847
2014,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-8.1226
2015,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-7.032
2016,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-15.3994
2017,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-9.6545
2018,m2/(inhabitant*a),a) rural and non-rural areas,mv,code13,-6.3477
2004,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-6.6074
2005,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-6.4742
2006,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-6.3799
2007,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-6.1329
2008,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-5.3291
2009,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.7116
2010,m2/(inhabitant*a),a) rural and non-rural areas,ni,code03,-4.3745
