Year,Units,dimension,Bundesland,GeoCode,Value
2012,min.,in relation to the middle and upper centers of the respective year,,,23.5
2016,min.,in relation to the middle and upper centers of the respective year,,,22.4
2018,min.,in relation to the middle and upper centers of the respective year,,,21.9
2012,min.,in relation to the middle and upper centers of the year 2012,,,23.5
2016,min.,in relation to the middle and upper centers of the year 2012,,,22.8
2018,min.,in relation to the middle and upper centers of the year 2012,,,22.5
2012,min.,in relation to the middle and upper centers of the respective year,bw,code08,22.8
2016,min.,in relation to the middle and upper centers of the respective year,bw,code08,21.8
2018,min.,in relation to the middle and upper centers of the respective year,bw,code08,21.6
2012,min.,in relation to the middle and upper centers of the respective year,by,code09,23.7
2016,min.,in relation to the middle and upper centers of the respective year,by,code09,22.4
2018,min.,in relation to the middle and upper centers of the respective year,by,code09,20.9
2012,min.,in relation to the middle and upper centers of the respective year,be,code11,27.2
2016,min.,in relation to the middle and upper centers of the respective year,be,code11,24.9
2018,min.,in relation to the middle and upper centers of the respective year,be,code11,24.4
2012,min.,in relation to the middle and upper centers of the respective year,bb,code12,24.6
2016,min.,in relation to the middle and upper centers of the respective year,bb,code12,22.3
2018,min.,in relation to the middle and upper centers of the respective year,bb,code12,21.5
2012,min.,in relation to the middle and upper centers of the respective year,hb,code04,24.5
2016,min.,in relation to the middle and upper centers of the respective year,hb,code04,22.5
2018,min.,in relation to the middle and upper centers of the respective year,hb,code04,21.8
2012,min.,in relation to the middle and upper centers of the respective year,hh,code02,23.5
2016,min.,in relation to the middle and upper centers of the respective year,hh,code02,25.8
2018,min.,in relation to the middle and upper centers of the respective year,hh,code02,25.9
2012,min.,in relation to the middle and upper centers of the respective year,he,code06,20.2
2016,min.,in relation to the middle and upper centers of the respective year,he,code06,19.3
2018,min.,in relation to the middle and upper centers of the respective year,he,code06,18.9
2012,min.,in relation to the middle and upper centers of the respective year,mv,code13,32.3
2016,min.,in relation to the middle and upper centers of the respective year,mv,code13,30.7
2018,min.,in relation to the middle and upper centers of the respective year,mv,code13,30.6
2012,min.,in relation to the middle and upper centers of the respective year,ni,code03,27.4
2016,min.,in relation to the middle and upper centers of the respective year,ni,code03,25.6
2018,min.,in relation to the middle and upper centers of the respective year,ni,code03,24.9
2012,min.,in relation to the middle and upper centers of the respective year,nw,code05,19.4
2016,min.,in relation to the middle and upper centers of the respective year,nw,code05,19.3
2018,min.,in relation to the middle and upper centers of the respective year,nw,code05,19.0
2012,min.,in relation to the middle and upper centers of the respective year,rp,code07,23.0
2016,min.,in relation to the middle and upper centers of the respective year,rp,code07,20.9
2018,min.,in relation to the middle and upper centers of the respective year,rp,code07,20.6
2012,min.,in relation to the middle and upper centers of the respective year,sl,code10,22.6
2016,min.,in relation to the middle and upper centers of the respective year,sl,code10,20.5
2018,min.,in relation to the middle and upper centers of the respective year,sl,code10,20.5
2012,min.,in relation to the middle and upper centers of the respective year,sn,code14,24.9
2016,min.,in relation to the middle and upper centers of the respective year,sn,code14,23.3
2018,min.,in relation to the middle and upper centers of the respective year,sn,code14,23.0
2012,min.,in relation to the middle and upper centers of the respective year,st,code15,28.9
2016,min.,in relation to the middle and upper centers of the respective year,st,code15,27.2
2018,min.,in relation to the middle and upper centers of the respective year,st,code15,27.5
2012,min.,in relation to the middle and upper centers of the respective year,sh,code01,30.1
2016,min.,in relation to the middle and upper centers of the respective year,sh,code01,29.0
2018,min.,in relation to the middle and upper centers of the respective year,sh,code01,28.3
2012,min.,in relation to the middle and upper centers of the respective year,th,code16,24.4
2016,min.,in relation to the middle and upper centers of the respective year,th,code16,23.5
2018,min.,in relation to the middle and upper centers of the respective year,th,code16,23.0
