Year,Units,display,title,Bundesland,GeoCode,Value
2005,number,a) time series,employees in thousands,,,961.25
2006,number,a) time series,employees in thousands,,,926.3
2007,number,a) time series,employees in thousands,,,860.49
2008,number,a) time series,employees in thousands,,,840.01
2009,number,a) time series,employees in thousands,,,802.83
2010,number,a) time series,employees in thousands,,,780.76
2011,number,a) time series,employees in thousands,,,764.74
2012,number,a) time series,employees in thousands,,,772.77
2013,number,a) time series,employees in thousands,,,772.88
2014,number,a) time series,employees in thousands,,,785.43
2015,number,a) time series,employees in thousands,,,800.63
2016,number,a) time series,employees in thousands,,,842.3
2017,number,a) time series,employees in thousands,,,985.2
2018,number,a) time series,employees in thousands,,,929.24
2005,number,a) time series,emas organisational locations,,,1958.0
2006,number,a) time series,emas organisational locations,,,1985.0
2007,number,a) time series,emas organisational locations,,,1956.0
2008,number,a) time series,emas organisational locations,,,1917.0
2009,number,a) time series,emas organisational locations,,,1906.0
2010,number,a) time series,emas organisational locations,,,1913.0
2011,number,a) time series,emas organisational locations,,,1903.0
2012,number,a) time series,emas organisational locations,,,1834.0
2013,number,a) time series,emas organisational locations,,,1877.0
2014,number,a) time series,emas organisational locations,,,1926.0
2015,number,a) time series,emas organisational locations,,,2031.0
2016,number,a) time series,emas organisational locations,,,2111.0
2017,number,a) time series,emas organisational locations,,,2233.0
2018,number,a) time series,emas organisational locations,,,2226.0
2030,number,b) target (min),emas organisational locations,,,5000.0
2005,number,a) time series,emas organisations,a) germany (total),,1491.0
2006,number,a) time series,emas organisations,a) germany (total),,1490.0
2007,number,a) time series,emas organisations,a) germany (total),,1466.0
2008,number,a) time series,emas organisations,a) germany (total),,1408.0
2009,number,a) time series,emas organisations,a) germany (total),,1354.0
2010,number,a) time series,emas organisations,a) germany (total),,1332.0
2011,number,a) time series,emas organisations,a) germany (total),,1269.0
2012,number,a) time series,emas organisations,a) germany (total),,1212.0
2013,number,a) time series,emas organisations,a) germany (total),,1228.0
2014,number,a) time series,emas organisations,a) germany (total),,1223.0
2015,number,a) time series,emas organisations,a) germany (total),,1216.0
2016,number,a) time series,emas organisations,a) germany (total),,1225.0
2017,number,a) time series,emas organisations,a) germany (total),,1240.0
2018,number,a) time series,emas organisations,a) germany (total),,1183.0
2005,number,a) time series,emas organisations,bw,code08,313.0
2006,number,a) time series,emas organisations,bw,code08,358.0
2007,number,a) time series,emas organisations,bw,code08,353.0
2008,number,a) time series,emas organisations,bw,code08,363.0
2009,number,a) time series,emas organisations,bw,code08,366.0
2010,number,a) time series,emas organisations,bw,code08,403.0
2011,number,a) time series,emas organisations,bw,code08,408.0
2012,number,a) time series,emas organisations,bw,code08,410.0
2013,number,a) time series,emas organisations,bw,code08,420.0
2014,number,a) time series,emas organisations,bw,code08,415.0
2015,number,a) time series,emas organisations,bw,code08,422.0
2016,number,a) time series,emas organisations,bw,code08,408.0
2017,number,a) time series,emas organisations,bw,code08,396.0
2018,number,a) time series,emas organisations,bw,code08,371.0
2005,number,a) time series,emas organisations,by,code09,320.0
2006,number,a) time series,emas organisations,by,code09,302.0
2007,number,a) time series,emas organisations,by,code09,298.0
2008,number,a) time series,emas organisations,by,code09,287.0
2009,number,a) time series,emas organisations,by,code09,282.0
2010,number,a) time series,emas organisations,by,code09,275.0
2011,number,a) time series,emas organisations,by,code09,250.0
2012,number,a) time series,emas organisations,by,code09,247.0
2013,number,a) time series,emas organisations,by,code09,244.0
2014,number,a) time series,emas organisations,by,code09,257.0
2015,number,a) time series,emas organisations,by,code09,269.0
2016,number,a) time series,emas organisations,by,code09,274.0
2017,number,a) time series,emas organisations,by,code09,288.0
2018,number,a) time series,emas organisations,by,code09,283.0
2005,number,a) time series,emas organisations,be,code11,56.0
2006,number,a) time series,emas organisations,be,code11,55.0
2007,number,a) time series,emas organisations,be,code11,57.0
2008,number,a) time series,emas organisations,be,code11,51.0
2009,number,a) time series,emas organisations,be,code11,43.0
2010,number,a) time series,emas organisations,be,code11,39.0
2011,number,a) time series,emas organisations,be,code11,39.0
2012,number,a) time series,emas organisations,be,code11,34.0
2013,number,a) time series,emas organisations,be,code11,41.0
2014,number,a) time series,emas organisations,be,code11,35.0
2015,number,a) time series,emas organisations,be,code11,26.0
2016,number,a) time series,emas organisations,be,code11,30.0
2017,number,a) time series,emas organisations,be,code11,32.0
2018,number,a) time series,emas organisations,be,code11,30.0
2005,number,a) time series,emas organisations,bb,code12,42.0
2006,number,a) time series,emas organisations,bb,code12,38.0
2007,number,a) time series,emas organisations,bb,code12,34.0
2008,number,a) time series,emas organisations,bb,code12,33.0
2009,number,a) time series,emas organisations,bb,code12,34.0
2010,number,a) time series,emas organisations,bb,code12,38.0
2011,number,a) time series,emas organisations,bb,code12,30.0
2012,number,a) time series,emas organisations,bb,code12,26.0
2013,number,a) time series,emas organisations,bb,code12,30.0
2014,number,a) time series,emas organisations,bb,code12,29.0
2015,number,a) time series,emas organisations,bb,code12,27.0
2016,number,a) time series,emas organisations,bb,code12,30.0
2017,number,a) time series,emas organisations,bb,code12,36.0
2018,number,a) time series,emas organisations,bb,code12,37.0
2005,number,a) time series,emas organisations,hb,code04,20.0
2006,number,a) time series,emas organisations,hb,code04,20.0
2007,number,a) time series,emas organisations,hb,code04,19.0
2008,number,a) time series,emas organisations,hb,code04,24.0
2009,number,a) time series,emas organisations,hb,code04,24.0
2010,number,a) time series,emas organisations,hb,code04,21.0
2011,number,a) time series,emas organisations,hb,code04,20.0
2012,number,a) time series,emas organisations,hb,code04,17.0
2013,number,a) time series,emas organisations,hb,code04,16.0
2014,number,a) time series,emas organisations,hb,code04,14.0
2015,number,a) time series,emas organisations,hb,code04,12.0
2016,number,a) time series,emas organisations,hb,code04,11.0
2017,number,a) time series,emas organisations,hb,code04,12.0
2018,number,a) time series,emas organisations,hb,code04,11.0
2005,number,a) time series,emas organisations,hh,code02,20.0
2006,number,a) time series,emas organisations,hh,code02,20.0
2007,number,a) time series,emas organisations,hh,code02,21.0
2008,number,a) time series,emas organisations,hh,code02,14.0
2009,number,a) time series,emas organisations,hh,code02,13.0
2010,number,a) time series,emas organisations,hh,code02,12.0
2011,number,a) time series,emas organisations,hh,code02,12.0
2012,number,a) time series,emas organisations,hh,code02,10.0
2013,number,a) time series,emas organisations,hh,code02,9.0
2014,number,a) time series,emas organisations,hh,code02,11.0
2015,number,a) time series,emas organisations,hh,code02,11.0
2016,number,a) time series,emas organisations,hh,code02,10.0
2017,number,a) time series,emas organisations,hh,code02,12.0
2018,number,a) time series,emas organisations,hh,code02,14.0
2005,number,a) time series,emas organisations,he,code06,103.0
2006,number,a) time series,emas organisations,he,code06,102.0
2007,number,a) time series,emas organisations,he,code06,98.0
2008,number,a) time series,emas organisations,he,code06,69.0
2009,number,a) time series,emas organisations,he,code06,67.0
2010,number,a) time series,emas organisations,he,code06,73.0
2011,number,a) time series,emas organisations,he,code06,74.0
2012,number,a) time series,emas organisations,he,code06,72.0
2013,number,a) time series,emas organisations,he,code06,70.0
2014,number,a) time series,emas organisations,he,code06,73.0
2015,number,a) time series,emas organisations,he,code06,76.0
2016,number,a) time series,emas organisations,he,code06,80.0
2017,number,a) time series,emas organisations,he,code06,78.0
2018,number,a) time series,emas organisations,he,code06,71.0
2005,number,a) time series,emas organisations,mv,code13,24.0
2006,number,a) time series,emas organisations,mv,code13,25.0
2007,number,a) time series,emas organisations,mv,code13,24.0
2008,number,a) time series,emas organisations,mv,code13,23.0
2009,number,a) time series,emas organisations,mv,code13,16.0
2010,number,a) time series,emas organisations,mv,code13,8.0
2011,number,a) time series,emas organisations,mv,code13,8.0
2012,number,a) time series,emas organisations,mv,code13,6.0
2013,number,a) time series,emas organisations,mv,code13,6.0
2014,number,a) time series,emas organisations,mv,code13,6.0
2015,number,a) time series,emas organisations,mv,code13,5.0
2016,number,a) time series,emas organisations,mv,code13,6.0
2017,number,a) time series,emas organisations,mv,code13,5.0
2018,number,a) time series,emas organisations,mv,code13,4.0
2005,number,a) time series,emas organisations,ni,code03,56.0
2006,number,a) time series,emas organisations,ni,code03,58.0
2007,number,a) time series,emas organisations,ni,code03,61.0
2008,number,a) time series,emas organisations,ni,code03,61.0
2009,number,a) time series,emas organisations,ni,code03,67.0
2010,number,a) time series,emas organisations,ni,code03,72.0
2011,number,a) time series,emas organisations,ni,code03,76.0
2012,number,a) time series,emas organisations,ni,code03,62.0
2013,number,a) time series,emas organisations,ni,code03,64.0
2014,number,a) time series,emas organisations,ni,code03,60.0
2015,number,a) time series,emas organisations,ni,code03,56.0
2016,number,a) time series,emas organisations,ni,code03,55.0
2017,number,a) time series,emas organisations,ni,code03,59.0
2018,number,a) time series,emas organisations,ni,code03,55.0
2005,number,a) time series,emas organisations,nw,code05,164.0
2006,number,a) time series,emas organisations,nw,code05,156.0
2007,number,a) time series,emas organisations,nw,code05,168.0
2008,number,a) time series,emas organisations,nw,code05,164.0
2009,number,a) time series,emas organisations,nw,code05,157.0
2010,number,a) time series,emas organisations,nw,code05,140.0
2011,number,a) time series,emas organisations,nw,code05,131.0
2012,number,a) time series,emas organisations,nw,code05,121.0
2013,number,a) time series,emas organisations,nw,code05,118.0
2014,number,a) time series,emas organisations,nw,code05,113.0
2015,number,a) time series,emas organisations,nw,code05,114.0
2016,number,a) time series,emas organisations,nw,code05,117.0
2017,number,a) time series,emas organisations,nw,code05,115.0
2018,number,a) time series,emas organisations,nw,code05,111.0
2005,number,a) time series,emas organisations,rp,code07,53.0
2006,number,a) time series,emas organisations,rp,code07,49.0
2007,number,a) time series,emas organisations,rp,code07,49.0
2008,number,a) time series,emas organisations,rp,code07,44.0
2009,number,a) time series,emas organisations,rp,code07,46.0
2010,number,a) time series,emas organisations,rp,code07,44.0
2011,number,a) time series,emas organisations,rp,code07,37.0
2012,number,a) time series,emas organisations,rp,code07,35.0
2013,number,a) time series,emas organisations,rp,code07,36.0
2014,number,a) time series,emas organisations,rp,code07,37.0
2015,number,a) time series,emas organisations,rp,code07,31.0
2016,number,a) time series,emas organisations,rp,code07,33.0
2017,number,a) time series,emas organisations,rp,code07,33.0
2018,number,a) time series,emas organisations,rp,code07,34.0
2005,number,a) time series,emas organisations,sl,code10,49.0
2006,number,a) time series,emas organisations,sl,code10,47.0
2007,number,a) time series,emas organisations,sl,code10,50.0
2008,number,a) time series,emas organisations,sl,code10,52.0
2009,number,a) time series,emas organisations,sl,code10,51.0
2010,number,a) time series,emas organisations,sl,code10,49.0
2011,number,a) time series,emas organisations,sl,code10,44.0
2012,number,a) time series,emas organisations,sl,code10,43.0
2013,number,a) time series,emas organisations,sl,code10,44.0
2014,number,a) time series,emas organisations,sl,code10,51.0
2015,number,a) time series,emas organisations,sl,code10,50.0
2016,number,a) time series,emas organisations,sl,code10,51.0
2017,number,a) time series,emas organisations,sl,code10,53.0
2018,number,a) time series,emas organisations,sl,code10,48.0
2005,number,a) time series,emas organisations,sn,code14,53.0
2006,number,a) time series,emas organisations,sn,code14,47.0
2007,number,a) time series,emas organisations,sn,code14,46.0
2008,number,a) time series,emas organisations,sn,code14,42.0
2009,number,a) time series,emas organisations,sn,code14,40.0
2010,number,a) time series,emas organisations,sn,code14,36.0
2011,number,a) time series,emas organisations,sn,code14,35.0
2012,number,a) time series,emas organisations,sn,code14,35.0
2013,number,a) time series,emas organisations,sn,code14,33.0
2014,number,a) time series,emas organisations,sn,code14,33.0
2015,number,a) time series,emas organisations,sn,code14,32.0
2016,number,a) time series,emas organisations,sn,code14,32.0
2017,number,a) time series,emas organisations,sn,code14,33.0
2018,number,a) time series,emas organisations,sn,code14,30.0
2005,number,a) time series,emas organisations,st,code15,34.0
2006,number,a) time series,emas organisations,st,code15,34.0
2007,number,a) time series,emas organisations,st,code15,37.0
2008,number,a) time series,emas organisations,st,code15,38.0
2009,number,a) time series,emas organisations,st,code15,35.0
2010,number,a) time series,emas organisations,st,code15,35.0
2011,number,a) time series,emas organisations,st,code15,28.0
2012,number,a) time series,emas organisations,st,code15,28.0
2013,number,a) time series,emas organisations,st,code15,28.0
2014,number,a) time series,emas organisations,st,code15,24.0
2015,number,a) time series,emas organisations,st,code15,21.0
2016,number,a) time series,emas organisations,st,code15,21.0
2017,number,a) time series,emas organisations,st,code15,22.0
2018,number,a) time series,emas organisations,st,code15,22.0
2005,number,a) time series,emas organisations,sh,code01,72.0
2006,number,a) time series,emas organisations,sh,code01,72.0
2007,number,a) time series,emas organisations,sh,code01,66.0
2008,number,a) time series,emas organisations,sh,code01,59.0
2009,number,a) time series,emas organisations,sh,code01,50.0
