Year,Units,display,Value
2011,bn eur,a) time series,1.56
2012,bn eur,a) time series,1.66
2013,bn eur,a) time series,1.95
2014,bn eur,a) time series,2.34
2015,bn eur,a) time series,2.68
2016,bn eur,a) time series,3.36
2017,bn eur,a) time series,3.65
2018,bn eur,a) time series,3.37
2014,bn eur,b) target (min),2.0
2015,bn eur,b) target (min),2.1
2016,bn eur,b) target (min),2.4
2017,bn eur,b) target (min),3.1
2018,bn eur,b) target (min),3.4
2019,bn eur,b) target (min),3.7
2020,bn eur,b) target (min),4.0
