Year,Units,display,sea,Value
1999,mg/l,a) time series,north sea,4.14
2000,mg/l,a) time series,north sea,4.02
2001,mg/l,a) time series,north sea,3.83
2002,mg/l,a) time series,north sea,3.76
2003,mg/l,a) time series,north sea,3.62
2004,mg/l,a) time series,north sea,3.58
2005,mg/l,a) time series,north sea,3.55
2006,mg/l,a) time series,north sea,3.56
2007,mg/l,a) time series,north sea,3.48
2008,mg/l,a) time series,north sea,3.45
2009,mg/l,a) time series,north sea,3.38
2010,mg/l,a) time series,north sea,3.39
2011,mg/l,a) time series,north sea,3.3
2012,mg/l,a) time series,north sea,3.17
2013,mg/l,a) time series,north sea,3.16
2014,mg/l,a) time series,north sea,3.09
2015,mg/l,a) time series,north sea,2.98
2016,mg/l,a) time series,north sea,2.92
2017,mg/l,a) time series,north sea,2.97
2018,mg/l,a) time series,north sea,2.84
2019,mg/l,a) time series,north sea,2.82
1999,mg/l,b) target (max),north sea,2.8
2000,mg/l,b) target (max),north sea,2.8
2001,mg/l,b) target (max),north sea,2.8
2002,mg/l,b) target (max),north sea,2.8
2003,mg/l,b) target (max),north sea,2.8
2004,mg/l,b) target (max),north sea,2.8
2005,mg/l,b) target (max),north sea,2.8
2006,mg/l,b) target (max),north sea,2.8
2007,mg/l,b) target (max),north sea,2.8
2008,mg/l,b) target (max),north sea,2.8
2009,mg/l,b) target (max),north sea,2.8
2010,mg/l,b) target (max),north sea,2.8
2011,mg/l,b) target (max),north sea,2.8
2012,mg/l,b) target (max),north sea,2.8
2013,mg/l,b) target (max),north sea,2.8
2014,mg/l,b) target (max),north sea,2.8
2015,mg/l,b) target (max),north sea,2.8
2016,mg/l,b) target (max),north sea,2.8
2017,mg/l,b) target (max),north sea,2.8
2018,mg/l,b) target (max),north sea,2.8
2019,mg/l,b) target (max),north sea,2.8
1999,mg/l,a) time series,baltic sea,3.92
2000,mg/l,a) time series,baltic sea,3.83
2001,mg/l,a) time series,baltic sea,3.96
2002,mg/l,a) time series,baltic sea,4.18
2003,mg/l,a) time series,baltic sea,3.74
2004,mg/l,a) time series,baltic sea,3.58
2005,mg/l,a) time series,baltic sea,3.58
2006,mg/l,a) time series,baltic sea,3.52
2007,mg/l,a) time series,baltic sea,3.52
2008,mg/l,a) time series,baltic sea,3.69
2009,mg/l,a) time series,baltic sea,3.6
2010,mg/l,a) time series,baltic sea,3.75
2011,mg/l,a) time series,baltic sea,3.78
2012,mg/l,a) time series,baltic sea,3.45
2013,mg/l,a) time series,baltic sea,3.41
2014,mg/l,a) time series,baltic sea,3.35
2015,mg/l,a) time series,baltic sea,3.15
2016,mg/l,a) time series,baltic sea,2.95
2017,mg/l,a) time series,baltic sea,3.19
2018,mg/l,a) time series,baltic sea,3.14
2019,mg/l,a) time series,baltic sea,3.17
1999,mg/l,b) target (max),baltic sea,2.6
2000,mg/l,b) target (max),baltic sea,2.6
2001,mg/l,b) target (max),baltic sea,2.6
2002,mg/l,b) target (max),baltic sea,2.6
2003,mg/l,b) target (max),baltic sea,2.6
2004,mg/l,b) target (max),baltic sea,2.6
2005,mg/l,b) target (max),baltic sea,2.6
2006,mg/l,b) target (max),baltic sea,2.6
2007,mg/l,b) target (max),baltic sea,2.6
2008,mg/l,b) target (max),baltic sea,2.6
2009,mg/l,b) target (max),baltic sea,2.6
2010,mg/l,b) target (max),baltic sea,2.6
2011,mg/l,b) target (max),baltic sea,2.6
2012,mg/l,b) target (max),baltic sea,2.6
2013,mg/l,b) target (max),baltic sea,2.6
2014,mg/l,b) target (max),baltic sea,2.6
2015,mg/l,b) target (max),baltic sea,2.6
2016,mg/l,b) target (max),baltic sea,2.6
2017,mg/l,b) target (max),baltic sea,2.6
2018,mg/l,b) target (max),baltic sea,2.6
2019,mg/l,b) target (max),baltic sea,2.6
