Year,Units,display,title,sea,Value
2003,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,33.3
2004,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,23.3
2005,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,20.0
2006,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,16.7
2007,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,20.0
2008,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,26.7
2009,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,36.7
2010,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2011,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2012,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,50.0
2013,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2014,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,40.0
2015,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2016,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2017,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2018,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,43.3
2019,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,46.7
2020,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,,60.0
2020,percentage (%),b) target (min),proportion of sustainable managed stocks in all msy examined stocks,,100.0
2003,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,40.9
2004,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,27.3
2005,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,22.7
2006,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,18.2
2007,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,22.7
2008,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,27.3
2009,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,40.9
2010,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,40.9
2011,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,40.9
2012,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,50.0
2013,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,40.9
2014,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,36.4
2015,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,45.5
2016,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,45.5
2017,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,45.5
2018,percentage (%),a) time series,proportion of sustainable managed stocks in all msy examined stocks,north sea,45.5
