Year,Units,title,Value
2009,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,3.0
2010,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,20.0
2011,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,12.0
2012,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,24.9
2013,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,36.3
2014,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,31.0
2015,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,15.7
2016,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,59.75
2017,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,67.95
2018,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,63.0
2019,mio. eur,payments to developing and emerging countries for the verified preservation or restoration of forests under the redd+ rulebook,63.5
