Year,Units,display,criminal offences,Bundesland,GeoCode,Value
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8354
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8063
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8212
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8166
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8079
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7923
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7743
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7692
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7812
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7978
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8055
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,8138
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7852
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7757
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7752
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7557
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7510
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7385
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7468
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7466
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7404
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7530
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7797
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,7755
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,6982
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,6710
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),a) germany (total),,6548
2030,per 100 000 inhabitants,b) target (max),a) criminal offences (overall),a) germany (total),,7000
1993,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,7311
1994,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6969
1995,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,7066
1996,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,7004
1997,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6902
1998,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6718
1999,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6538
2000,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6429
2001,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6526
2002,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6696
2003,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6668
2004,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6659
2005,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6369
2006,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6267
2007,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6300
2008,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6139
2009,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5998
2010,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5851
2011,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5964
2012,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5924
2013,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5894
2014,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,5987
2015,per 100 000 inhabitants,a) time series,other criminal offences,a) germany (total),,6244
