Year,Units,display,Value
2006,number,a) time series,8.0
2007,number,a) time series,6.0
2008,number,a) time series,8.0
2009,number,a) time series,2.0
2010,number,a) time series,3.0
2011,number,a) time series,11.0
2012,number,a) time series,15.0
2013,number,a) time series,14.0
2014,number,a) time series,15.0
2015,number,a) time series,26.0
2016,number,a) time series,26.0
2017,number,a) time series,19.0
2018,number,a) time series,36.0
2019,number,a) time series,31.0
2006,number,b) target (min),15.0
2007,number,b) target (min),15.0
2008,number,b) target (min),15.0
2009,number,b) target (min),15.0
2010,number,b) target (min),15.0
2011,number,b) target (min),15.0
2012,number,b) target (min),15.0
2013,number,b) target (min),15.0
2014,number,b) target (min),15.0
2015,number,b) target (min),15.0
2016,number,b) target (min),15.0
2017,number,b) target (min),15.0
2018,number,b) target (min),15.0
2019,number,b) target (min),15.0
