Year,title,Value
2012,rating for germany,79.0
2013,rating for germany,78.0
2014,rating for germany,79.0
2015,rating for germany,81.0
2016,rating for germany,81.0
2017,rating for germany,81.0
2018,rating for germany,80.0
2012,number of partner countries of german development cooperation whose rating has improved compared with 2012,0.0
2013,number of partner countries of german development cooperation whose rating has improved compared with 2012,18.0
2014,number of partner countries of german development cooperation whose rating has improved compared with 2012,39.0
2015,number of partner countries of german development cooperation whose rating has improved compared with 2012,43.0
2016,number of partner countries of german development cooperation whose rating has improved compared with 2012,43.0
2017,number of partner countries of german development cooperation whose rating has improved compared with 2012,42.0
2018,number of partner countries of german development cooperation whose rating has improved compared with 2012,42.0
