Year,Units,display,title,Value
1995,percentage (%),a) time series,calculation as net expenditure,0.308
1996,percentage (%),a) time series,calculation as net expenditure,0.32
1997,percentage (%),a) time series,calculation as net expenditure,0.279
1998,percentage (%),a) time series,calculation as net expenditure,0.262
1999,percentage (%),a) time series,calculation as net expenditure,0.264
2000,percentage (%),a) time series,calculation as net expenditure,0.271
2001,percentage (%),a) time series,calculation as net expenditure,0.27
2002,percentage (%),a) time series,calculation as net expenditure,0.27
2003,percentage (%),a) time series,calculation as net expenditure,0.28
2004,percentage (%),a) time series,calculation as net expenditure,0.28
2005,percentage (%),a) time series,calculation as net expenditure,0.36
2006,percentage (%),a) time series,calculation as net expenditure,0.36
2007,percentage (%),a) time series,calculation as net expenditure,0.37
2008,percentage (%),a) time series,calculation as net expenditure,0.38
2009,percentage (%),a) time series,calculation as net expenditure,0.35
2010,percentage (%),a) time series,calculation as net expenditure,0.39
2011,percentage (%),a) time series,calculation as net expenditure,0.39
2012,percentage (%),a) time series,calculation as net expenditure,0.37
2013,percentage (%),a) time series,calculation as net expenditure,0.381
2014,percentage (%),a) time series,calculation as net expenditure,0.419
2015,percentage (%),a) time series,calculation as net expenditure,0.523
2016,percentage (%),a) time series,calculation as net expenditure,0.699
2017,percentage (%),a) time series,calculation as net expenditure,0.667
2018,percentage (%),a) time series,calculation in grant equivalents,0.612
2019,percentage (%),a) time series,calculation in grant equivalents,0.612
2030,percentage (%),b) target,calculation in grant equivalents,0.7
