Year,Units,display,title,Bundesland,GeoCode,Value
1999,percentage (%),a) time series,data from destatis,a) germany (total),,2.85
2001,percentage (%),a) time series,data from destatis,a) germany (total),,3.57
2003,percentage (%),a) time series,data from destatis,a) germany (total),,4.3
2005,percentage (%),a) time series,data from destatis,a) germany (total),,4.59
2007,percentage (%),a) time series,data from destatis,a) germany (total),,5.08
2010,percentage (%),a) time series,data from destatis,a) germany (total),,5.64
2012,percentage (%),a) time series,data from destatis,a) germany (total),,5.76
2013,percentage (%),a) time series,data from destatis,a) germany (total),,6.04
2014,percentage (%),a) time series,data from destatis,a) germany (total),,6.18
2015,percentage (%),a) time series,data from destatis,a) germany (total),,6.34
2016,percentage (%),a) time series,data from destatis,a) germany (total),,6.82
2017,percentage (%),a) time series,data from destatis,a) germany (total),,6.82
2018,percentage (%),a) time series,data from destatis,a) germany (total),,7.34
2019,percentage (%),a) time series,data from destatis,a) germany (total),,7.75
2020,percentage (%),a) time series,data from destatis,a) germany (total),,9.6
2030,percentage (%),b) target (min),data from destatis,a) germany (total),,20.0
1999,percentage (%),a) time series,data from bmel,a) germany (total),,2.6
2000,percentage (%),a) time series,data from bmel,a) germany (total),,3.2
2001,percentage (%),a) time series,data from bmel,a) germany (total),,3.7
2002,percentage (%),a) time series,data from bmel,a) germany (total),,4.1
2003,percentage (%),a) time series,data from bmel,a) germany (total),,4.3
2004,percentage (%),a) time series,data from bmel,a) germany (total),,4.5
2005,percentage (%),a) time series,data from bmel,a) germany (total),,4.7
2006,percentage (%),a) time series,data from bmel,a) germany (total),,4.9
2007,percentage (%),a) time series,data from bmel,a) germany (total),,5.1
2008,percentage (%),a) time series,data from bmel,a) germany (total),,5.4
2009,percentage (%),a) time series,data from bmel,a) germany (total),,5.6
2010,percentage (%),a) time series,data from bmel,a) germany (total),,5.9
2011,percentage (%),a) time series,data from bmel,a) germany (total),,6.1
2012,percentage (%),a) time series,data from bmel,a) germany (total),,6.2
2013,percentage (%),a) time series,data from bmel,a) germany (total),,6.3
2014,percentage (%),a) time series,data from bmel,a) germany (total),,6.3
2015,percentage (%),a) time series,data from bmel,a) germany (total),,6.5
2016,percentage (%),a) time series,data from bmel,a) germany (total),,7.5
2017,percentage (%),a) time series,data from bmel,a) germany (total),,8.2
2018,percentage (%),a) time series,data from bmel,a) germany (total),,9.1
2019,percentage (%),a) time series,data from bmel,a) germany (total),,9.7
1999,percentage (%),a) time series,data from destatis,bw,code08,5.3
2001,percentage (%),a) time series,data from destatis,bw,code08,6.7
2003,percentage (%),a) time series,data from destatis,bw,code08,6.4
2005,percentage (%),a) time series,data from destatis,bw,code08,6.4
2007,percentage (%),a) time series,data from destatis,bw,code08,6.59
2010,percentage (%),a) time series,data from destatis,bw,code08,6.98
2013,percentage (%),a) time series,data from destatis,bw,code08,7.81
2016,percentage (%),a) time series,data from destatis,bw,code08,9.31
1999,percentage (%),a) time series,data from destatis,by,code09,2.2
2001,percentage (%),a) time series,data from destatis,by,code09,2.8
2003,percentage (%),a) time series,data from destatis,by,code09,3.9
2005,percentage (%),a) time series,data from destatis,by,code09,3.9
2007,percentage (%),a) time series,data from destatis,by,code09,4.55
2010,percentage (%),a) time series,data from destatis,by,code09,6.08
2013,percentage (%),a) time series,data from destatis,by,code09,6.82
2016,percentage (%),a) time series,data from destatis,by,code09,8.26
2010,percentage (%),a) time series,data from destatis,be,code11,12.42
2013,percentage (%),a) time series,data from destatis,be,code11,15.0
2016,percentage (%),a) time series,data from destatis,be,code11,15.61
1999,percentage (%),a) time series,data from destatis,bb,code12,5.4
2001,percentage (%),a) time series,data from destatis,bb,code12,7.1
2003,percentage (%),a) time series,data from destatis,bb,code12,8.7
2005,percentage (%),a) time series,data from destatis,bb,code12,9.8
2007,percentage (%),a) time series,data from destatis,bb,code12,10.07
2010,percentage (%),a) time series,data from destatis,bb,code12,10.6
2013,percentage (%),a) time series,data from destatis,bb,code12,10.33
2016,percentage (%),a) time series,data from destatis,bb,code12,10.42
2010,percentage (%),a) time series,data from destatis,hb,code04,9.84
2013,percentage (%),a) time series,data from destatis,hb,code04,11.76
2016,percentage (%),a) time series,data from destatis,hb,code04,17.67
2010,percentage (%),a) time series,data from destatis,hh,code02,6.82
2013,percentage (%),a) time series,data from destatis,hh,code02,6.94
2016,percentage (%),a) time series,data from destatis,hh,code02,8.12
1999,percentage (%),a) time series,data from destatis,he,code06,5.6
2001,percentage (%),a) time series,data from destatis,he,code06,6.8
2003,percentage (%),a) time series,data from destatis,he,code06,7.0
2005,percentage (%),a) time series,data from destatis,he,code06,7.0
2007,percentage (%),a) time series,data from destatis,he,code06,7.8
2010,percentage (%),a) time series,data from destatis,he,code06,9.4
2013,percentage (%),a) time series,data from destatis,he,code06,10.52
2016,percentage (%),a) time series,data from destatis,he,code06,11.59
1999,percentage (%),a) time series,data from destatis,mv,code13,6.9
2001,percentage (%),a) time series,data from destatis,mv,code13,7.2
2003,percentage (%),a) time series,data from destatis,mv,code13,8.1
2005,percentage (%),a) time series,data from destatis,mv,code13,8.1
2007,percentage (%),a) time series,data from destatis,mv,code13,8.85
2010,percentage (%),a) time series,data from destatis,mv,code13,8.68
2013,percentage (%),a) time series,data from destatis,mv,code13,8.97
2016,percentage (%),a) time series,data from destatis,mv,code13,9.37
1999,percentage (%),a) time series,data from destatis,ni,code03,1.0
2001,percentage (%),a) time series,data from destatis,ni,code03,1.4
2003,percentage (%),a) time series,data from destatis,ni,code03,2.1
2005,percentage (%),a) time series,data from destatis,ni,code03,2.4
2007,percentage (%),a) time series,data from destatis,ni,code03,2.86
2010,percentage (%),a) time series,data from destatis,ni,code03,2.89
2013,percentage (%),a) time series,data from destatis,ni,code03,2.85
2016,percentage (%),a) time series,data from destatis,ni,code03,3.21
