Year,Units,display,age,Bundesland,GeoCode,Value
1995,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
1996,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
1997,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,28.1
1998,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
1999,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2000,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2001,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,27.5
2002,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2003,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,22.5
2004,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,23.5
2005,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,20.0
2006,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2007,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,17.7
2008,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,15.4
2009,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2010,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,12.9
2011,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,11.7
2012,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,12.0
2013,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2014,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,9.7
2015,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,7.8
2016,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,7.4
2017,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
2018,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,6.6
2019,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,5.6
2030,percentage (%),a) time series,adolescents (12 to 17 years),a) germany (total),,
1995,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
1996,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
1997,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
1998,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
1999,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2000,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2000,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2001,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2002,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2003,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2004,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2005,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2006,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2007,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2008,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2009,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2010,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2011,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2012,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2013,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2014,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2015,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2016,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2017,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2018,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2019,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,
2030,percentage (%),b) target (max),adolescents (12 to 17 years),a) germany (total),,7.0
1995,percentage (%),a) time series,adults (15 years and older),a) germany (total),,28.28
1996,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
1997,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
1998,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
1999,percentage (%),a) time series,adults (15 years and older),a) germany (total),,28.3
2000,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2001,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2002,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2003,percentage (%),a) time series,adults (15 years and older),a) germany (total),,27.4
2004,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2005,percentage (%),a) time series,adults (15 years and older),a) germany (total),,27.2
2006,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2007,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2008,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2009,percentage (%),a) time series,adults (15 years and older),a) germany (total),,25.7
2010,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2011,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2012,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2013,percentage (%),a) time series,adults (15 years and older),a) germany (total),,24.5
2014,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2015,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2016,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2017,percentage (%),a) time series,adults (15 years and older),a) germany (total),,22.0
2018,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2019,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
2030,percentage (%),a) time series,adults (15 years and older),a) germany (total),,
1995,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
1996,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
1997,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
1998,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
1999,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2000,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2000,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2001,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2002,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2003,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2004,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2005,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2006,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2007,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2008,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2009,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2010,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2011,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2012,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2013,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2014,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2015,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2016,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2017,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2018,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2019,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,
2030,percentage (%),b) target (max),adults (15 years and older),a) germany (total),,19.0
1995,percentage (%),a) time series,adults (15 years and older),bw,code08,24.38
1996,percentage (%),a) time series,adults (15 years and older),bw,code08,
1997,percentage (%),a) time series,adults (15 years and older),bw,code08,
1998,percentage (%),a) time series,adults (15 years and older),bw,code08,
1999,percentage (%),a) time series,adults (15 years and older),bw,code08,26.13
2000,percentage (%),a) time series,adults (15 years and older),bw,code08,
2001,percentage (%),a) time series,adults (15 years and older),bw,code08,
2002,percentage (%),a) time series,adults (15 years and older),bw,code08,
2003,percentage (%),a) time series,adults (15 years and older),bw,code08,25.53
2004,percentage (%),a) time series,adults (15 years and older),bw,code08,
2005,percentage (%),a) time series,adults (15 years and older),bw,code08,24.5
2006,percentage (%),a) time series,adults (15 years and older),bw,code08,
2007,percentage (%),a) time series,adults (15 years and older),bw,code08,
2008,percentage (%),a) time series,adults (15 years and older),bw,code08,
2009,percentage (%),a) time series,adults (15 years and older),bw,code08,22.8
2010,percentage (%),a) time series,adults (15 years and older),bw,code08,
2011,percentage (%),a) time series,adults (15 years and older),bw,code08,
2012,percentage (%),a) time series,adults (15 years and older),bw,code08,
2013,percentage (%),a) time series,adults (15 years and older),bw,code08,22.21
2014,percentage (%),a) time series,adults (15 years and older),bw,code08,
2015,percentage (%),a) time series,adults (15 years and older),bw,code08,
2016,percentage (%),a) time series,adults (15 years and older),bw,code08,
2017,percentage (%),a) time series,adults (15 years and older),bw,code08,21.23
2018,percentage (%),a) time series,adults (15 years and older),bw,code08,
2019,percentage (%),a) time series,adults (15 years and older),bw,code08,
2030,percentage (%),a) time series,adults (15 years and older),bw,code08,
1995,percentage (%),a) time series,adults (15 years and older),by,code09,24.41
1996,percentage (%),a) time series,adults (15 years and older),by,code09,
1997,percentage (%),a) time series,adults (15 years and older),by,code09,
1998,percentage (%),a) time series,adults (15 years and older),by,code09,
1999,percentage (%),a) time series,adults (15 years and older),by,code09,25.99
2000,percentage (%),a) time series,adults (15 years and older),by,code09,
2001,percentage (%),a) time series,adults (15 years and older),by,code09,
2002,percentage (%),a) time series,adults (15 years and older),by,code09,
2003,percentage (%),a) time series,adults (15 years and older),by,code09,25.12
2004,percentage (%),a) time series,adults (15 years and older),by,code09,
2005,percentage (%),a) time series,adults (15 years and older),by,code09,24.2
2006,percentage (%),a) time series,adults (15 years and older),by,code09,
2007,percentage (%),a) time series,adults (15 years and older),by,code09,
2008,percentage (%),a) time series,adults (15 years and older),by,code09,
2009,percentage (%),a) time series,adults (15 years and older),by,code09,23.5
2010,percentage (%),a) time series,adults (15 years and older),by,code09,
2011,percentage (%),a) time series,adults (15 years and older),by,code09,
2012,percentage (%),a) time series,adults (15 years and older),by,code09,
2013,percentage (%),a) time series,adults (15 years and older),by,code09,22.15
2014,percentage (%),a) time series,adults (15 years and older),by,code09,
2015,percentage (%),a) time series,adults (15 years and older),by,code09,
2016,percentage (%),a) time series,adults (15 years and older),by,code09,
2017,percentage (%),a) time series,adults (15 years and older),by,code09,20.51
2018,percentage (%),a) time series,adults (15 years and older),by,code09,
2019,percentage (%),a) time series,adults (15 years and older),by,code09,
2030,percentage (%),a) time series,adults (15 years and older),by,code09,
1995,percentage (%),a) time series,adults (15 years and older),be,code11,33.04
1996,percentage (%),a) time series,adults (15 years and older),be,code11,
1997,percentage (%),a) time series,adults (15 years and older),be,code11,
1998,percentage (%),a) time series,adults (15 years and older),be,code11,
1999,percentage (%),a) time series,adults (15 years and older),be,code11,35.5
2000,percentage (%),a) time series,adults (15 years and older),be,code11,
2001,percentage (%),a) time series,adults (15 years and older),be,code11,
2002,percentage (%),a) time series,adults (15 years and older),be,code11,
2003,percentage (%),a) time series,adults (15 years and older),be,code11,34.12
2004,percentage (%),a) time series,adults (15 years and older),be,code11,
2005,percentage (%),a) time series,adults (15 years and older),be,code11,32.7
2006,percentage (%),a) time series,adults (15 years and older),be,code11,
2007,percentage (%),a) time series,adults (15 years and older),be,code11,
2008,percentage (%),a) time series,adults (15 years and older),be,code11,
2009,percentage (%),a) time series,adults (15 years and older),be,code11,31.3
2010,percentage (%),a) time series,adults (15 years and older),be,code11,
2011,percentage (%),a) time series,adults (15 years and older),be,code11,
2012,percentage (%),a) time series,adults (15 years and older),be,code11,
2013,percentage (%),a) time series,adults (15 years and older),be,code11,28.85
2014,percentage (%),a) time series,adults (15 years and older),be,code11,
2015,percentage (%),a) time series,adults (15 years and older),be,code11,
2016,percentage (%),a) time series,adults (15 years and older),be,code11,
2017,percentage (%),a) time series,adults (15 years and older),be,code11,25.47
2018,percentage (%),a) time series,adults (15 years and older),be,code11,
2019,percentage (%),a) time series,adults (15 years and older),be,code11,
2030,percentage (%),a) time series,adults (15 years and older),be,code11,
1995,percentage (%),a) time series,adults (15 years and older),bb,code12,28.26
1996,percentage (%),a) time series,adults (15 years and older),bb,code12,
1997,percentage (%),a) time series,adults (15 years and older),bb,code12,
1998,percentage (%),a) time series,adults (15 years and older),bb,code12,
1999,percentage (%),a) time series,adults (15 years and older),bb,code12,31.03
2000,percentage (%),a) time series,adults (15 years and older),bb,code12,
2001,percentage (%),a) time series,adults (15 years and older),bb,code12,
2002,percentage (%),a) time series,adults (15 years and older),bb,code12,
2003,percentage (%),a) time series,adults (15 years and older),bb,code12,30.35
2004,percentage (%),a) time series,adults (15 years and older),bb,code12,
2005,percentage (%),a) time series,adults (15 years and older),bb,code12,29.0
2006,percentage (%),a) time series,adults (15 years and older),bb,code12,
2007,percentage (%),a) time series,adults (15 years and older),bb,code12,
2008,percentage (%),a) time series,adults (15 years and older),bb,code12,
2009,percentage (%),a) time series,adults (15 years and older),bb,code12,28.0
2010,percentage (%),a) time series,adults (15 years and older),bb,code12,
2011,percentage (%),a) time series,adults (15 years and older),bb,code12,
2012,percentage (%),a) time series,adults (15 years and older),bb,code12,
2013,percentage (%),a) time series,adults (15 years and older),bb,code12,25.77
2014,percentage (%),a) time series,adults (15 years and older),bb,code12,
2015,percentage (%),a) time series,adults (15 years and older),bb,code12,
2016,percentage (%),a) time series,adults (15 years and older),bb,code12,
2017,percentage (%),a) time series,adults (15 years and older),bb,code12,24.47
2018,percentage (%),a) time series,adults (15 years and older),bb,code12,
2019,percentage (%),a) time series,adults (15 years and older),bb,code12,
2030,percentage (%),a) time series,adults (15 years and older),bb,code12,
1995,percentage (%),a) time series,adults (15 years and older),hb,code04,31.99
1996,percentage (%),a) time series,adults (15 years and older),hb,code04,
1997,percentage (%),a) time series,adults (15 years and older),hb,code04,
1998,percentage (%),a) time series,adults (15 years and older),hb,code04,
1999,percentage (%),a) time series,adults (15 years and older),hb,code04,33.73
2000,percentage (%),a) time series,adults (15 years and older),hb,code04,
2001,percentage (%),a) time series,adults (15 years and older),hb,code04,
2002,percentage (%),a) time series,adults (15 years and older),hb,code04,
2003,percentage (%),a) time series,adults (15 years and older),hb,code04,33.85
2004,percentage (%),a) time series,adults (15 years and older),hb,code04,
2005,percentage (%),a) time series,adults (15 years and older),hb,code04,30.8
2006,percentage (%),a) time series,adults (15 years and older),hb,code04,
2007,percentage (%),a) time series,adults (15 years and older),hb,code04,
2008,percentage (%),a) time series,adults (15 years and older),hb,code04,
2009,percentage (%),a) time series,adults (15 years and older),hb,code04,30.5
2010,percentage (%),a) time series,adults (15 years and older),hb,code04,
2011,percentage (%),a) time series,adults (15 years and older),hb,code04,
2012,percentage (%),a) time series,adults (15 years and older),hb,code04,
2013,percentage (%),a) time series,adults (15 years and older),hb,code04,27.77
2014,percentage (%),a) time series,adults (15 years and older),hb,code04,
2015,percentage (%),a) time series,adults (15 years and older),hb,code04,
2016,percentage (%),a) time series,adults (15 years and older),hb,code04,
2017,percentage (%),a) time series,adults (15 years and older),hb,code04,27.39
2018,percentage (%),a) time series,adults (15 years and older),hb,code04,
2019,percentage (%),a) time series,adults (15 years and older),hb,code04,
2030,percentage (%),a) time series,adults (15 years and older),hb,code04,
