Year,Units,sex,age,Bundesland,GeoCode,Value
1999,percentage (%),a) total,,a) germany (total),,10.7
2003,percentage (%),a) total,,a) germany (total),,11.7
2005,percentage (%),a) total,,a) germany (total),,12.5
2009,percentage (%),a) total,,a) germany (total),,13.3
2013,percentage (%),a) total,,a) germany (total),,14.1
2017,percentage (%),a) total,,a) germany (total),,14.8
2021,percentage (%),a) total,,a) germany (total),,15.42
1999,percentage (%),a) total,,bw,code08,9.8
2003,percentage (%),a) total,,bw,code08,10.9
2005,percentage (%),a) total,,bw,code08,11.4
2009,percentage (%),a) total,,bw,code08,12.3
2013,percentage (%),a) total,,bw,code08,12.9
2017,percentage (%),a) total,,bw,code08,13.8
2021,percentage (%),a) total,,bw,code08,14.03
1999,percentage (%),a) total,,by,code09,10.7
2003,percentage (%),a) total,,by,code09,11.7
2005,percentage (%),a) total,,by,code09,11.8
2009,percentage (%),a) total,,by,code09,12.8
2013,percentage (%),a) total,,by,code09,13.3
2017,percentage (%),a) total,,by,code09,13.7
2021,percentage (%),a) total,,by,code09,13.91
1999,percentage (%),a) total,,be,code11,9.2
2003,percentage (%),a) total,,be,code11,10.2
2005,percentage (%),a) total,,be,code11,11.2
2009,percentage (%),a) total,,be,code11,11.2
2013,percentage (%),a) total,,be,code11,11.7
2017,percentage (%),a) total,,be,code11,11.9
2021,percentage (%),a) total,,be,code11,13.11
1999,percentage (%),a) total,,bb,code12,13.1
2003,percentage (%),a) total,,bb,code12,13.1
2005,percentage (%),a) total,,bb,code12,13.8
2009,percentage (%),a) total,,bb,code12,14.8
2013,percentage (%),a) total,,bb,code12,14.9
2017,percentage (%),a) total,,bb,code12,15.5
2021,percentage (%),a) total,,bb,code12,16.36
1999,percentage (%),a) total,,hb,code04,8.9
2003,percentage (%),a) total,,hb,code04,10.8
2005,percentage (%),a) total,,hb,code04,10.2
2009,percentage (%),a) total,,hb,code04,11.7
2013,percentage (%),a) total,,hb,code04,13.5
2017,percentage (%),a) total,,hb,code04,16.9
2021,percentage (%),a) total,,hb,code04,16.97
1999,percentage (%),a) total,,hh,code02,8.3
