Year,Units,display,air pollutants,Value
2005,2005 = 100,a) time series,air pollutants overall,100.0
2006,2005 = 100,a) time series,air pollutants overall,99.6
2007,2005 = 100,a) time series,air pollutants overall,96.3
2008,2005 = 100,a) time series,air pollutants overall,93.5
2009,2005 = 100,a) time series,air pollutants overall,87.6
2010,2005 = 100,a) time series,air pollutants overall,90.8
2011,2005 = 100,a) time series,air pollutants overall,88.5
2012,2005 = 100,a) time series,air pollutants overall,85.9
2013,2005 = 100,a) time series,air pollutants overall,85.2
2014,2005 = 100,a) time series,air pollutants overall,82.8
2015,2005 = 100,a) time series,air pollutants overall,82.2
2016,2005 = 100,a) time series,air pollutants overall,80.2
2017,2005 = 100,a) time series,air pollutants overall,79.5
2030,2005 = 100,b) target (max),air pollutants overall,55.0
2005,2005 = 100,a) time series,so2,100.0
2006,2005 = 100,a) time series,so2,100.0
2007,2005 = 100,a) time series,so2,96.5
2008,2005 = 100,a) time series,so2,95.6
2009,2005 = 100,a) time series,so2,83.7
2010,2005 = 100,a) time series,so2,86.7
2011,2005 = 100,a) time series,so2,83.8
2012,2005 = 100,a) time series,so2,79.6
2013,2005 = 100,a) time series,so2,77.5
2014,2005 = 100,a) time series,so2,73.3
2015,2005 = 100,a) time series,so2,72.7
2016,2005 = 100,a) time series,so2,67.7
2017,2005 = 100,a) time series,so2,66.9
2005,2005 = 100,a) time series,nox,100.0
2006,2005 = 100,a) time series,nox,99.3
2007,2005 = 100,a) time series,nox,94.9
2008,2005 = 100,a) time series,nox,90.2
2009,2005 = 100,a) time series,nox,84.0
2010,2005 = 100,a) time series,nox,85.6
2011,2005 = 100,a) time series,nox,84.5
2012,2005 = 100,a) time series,nox,82.4
2013,2005 = 100,a) time series,nox,82.5
2014,2005 = 100,a) time series,nox,80.2
2015,2005 = 100,a) time series,nox,78.7
2016,2005 = 100,a) time series,nox,77.1
2017,2005 = 100,a) time series,nox,74.8
2005,2005 = 100,a) time series,nh3,100.0
2006,2005 = 100,a) time series,nh3,100.4
2007,2005 = 100,a) time series,nh3,100.9
2008,2005 = 100,a) time series,nh3,101.4
2009,2005 = 100,a) time series,nh3,103.3
2010,2005 = 100,a) time series,nh3,100.3
2011,2005 = 100,a) time series,nh3,104.9
2012,2005 = 100,a) time series,nh3,103.1
2013,2005 = 100,a) time series,nh3,105.8
2014,2005 = 100,a) time series,nh3,106.2
2015,2005 = 100,a) time series,nh3,107.8
2016,2005 = 100,a) time series,nh3,106.5
2017,2005 = 100,a) time series,nh3,105.3
2005,2005 = 100,a) time series,nmvoc,100.0
2006,2005 = 100,a) time series,nmvoc,101.5
2007,2005 = 100,a) time series,nmvoc,96.5
2008,2005 = 100,a) time series,nmvoc,92.1
2009,2005 = 100,a) time series,nmvoc,84.2
2010,2005 = 100,a) time series,nmvoc,93.2
2011,2005 = 100,a) time series,nmvoc,85.0
2012,2005 = 100,a) time series,nmvoc,85.0
2013,2005 = 100,a) time series,nmvoc,81.7
2014,2005 = 100,a) time series,nmvoc,79.2
2015,2005 = 100,a) time series,nmvoc,77.2
2016,2005 = 100,a) time series,nmvoc,77.3
2017,2005 = 100,a) time series,nmvoc,79.2
2005,2005 = 100,a) time series,pm2.5,100.0
2006,2005 = 100,a) time series,pm2.5,97.0
2007,2005 = 100,a) time series,pm2.5,92.9
2008,2005 = 100,a) time series,pm2.5,88.0
2009,2005 = 100,a) time series,pm2.5,82.7
2010,2005 = 100,a) time series,pm2.5,88.1
2011,2005 = 100,a) time series,pm2.5,84.4
2012,2005 = 100,a) time series,pm2.5,79.4
2013,2005 = 100,a) time series,pm2.5,78.5
2014,2005 = 100,a) time series,pm2.5,75.1
2015,2005 = 100,a) time series,pm2.5,74.6
2016,2005 = 100,a) time series,pm2.5,72.5
2017,2005 = 100,a) time series,pm2.5,71.3
