Year,Units,display,title,Bundesland,GeoCode,Value
2008,2008 = 100,a) time series,a) final energy productivity,,,100.0
2009,2008 = 100,a) time series,a) final energy productivity,,,99.7
2010,2008 = 100,a) time series,a) final energy productivity,,,96.7
2011,2008 = 100,a) time series,a) final energy productivity,,,105.3
2012,2008 = 100,a) time series,a) final energy productivity,,,105.3
2013,2008 = 100,a) time series,a) final energy productivity,,,102.7
2014,2008 = 100,a) time series,a) final energy productivity,,,110.8
2015,2008 = 100,a) time series,a) final energy productivity,,,110.2
2016,2008 = 100,a) time series,a) final energy productivity,,,110.5
2017,2008 = 100,a) time series,a) final energy productivity,,,111.6
2018,2008 = 100,a) time series,a) final energy productivity,,,116.0
2050,2008 = 100,b) target (min),a) final energy productivity,,,239.0
2008,2008 = 100,a) time series,a) final energy productivity,bw,code08,100.0
2009,2008 = 100,a) time series,a) final energy productivity,bw,code08,96.4
2010,2008 = 100,a) time series,a) final energy productivity,bw,code08,101.1
2011,2008 = 100,a) time series,a) final energy productivity,bw,code08,109.9
2012,2008 = 100,a) time series,a) final energy productivity,bw,code08,111.9
2013,2008 = 100,a) time series,a) final energy productivity,bw,code08,107.5
2014,2008 = 100,a) time series,a) final energy productivity,bw,code08,117.0
2015,2008 = 100,a) time series,a) final energy productivity,bw,code08,117.1
2016,2008 = 100,a) time series,a) final energy productivity,bw,code08,115.9
2008,2008 = 100,a) time series,a) final energy productivity,by,code09,100.0
2009,2008 = 100,a) time series,a) final energy productivity,by,code09,98.4
2010,2008 = 100,a) time series,a) final energy productivity,by,code09,95.9
2011,2008 = 100,a) time series,a) final energy productivity,by,code09,102.5
2012,2008 = 100,a) time series,a) final energy productivity,by,code09,104.0
2013,2008 = 100,a) time series,a) final energy productivity,by,code09,104.2
2014,2008 = 100,a) time series,a) final energy productivity,by,code09,112.1
2015,2008 = 100,a) time series,a) final energy productivity,by,code09,111.9
2016,2008 = 100,a) time series,a) final energy productivity,by,code09,111.3
2008,2008 = 100,a) time series,a) final energy productivity,be,code11,100.0
2009,2008 = 100,a) time series,a) final energy productivity,be,code11,98.1
2010,2008 = 100,a) time series,a) final energy productivity,be,code11,92.9
2011,2008 = 100,a) time series,a) final energy productivity,be,code11,108.1
2012,2008 = 100,a) time series,a) final energy productivity,be,code11,107.0
2013,2008 = 100,a) time series,a) final energy productivity,be,code11,103.5
2014,2008 = 100,a) time series,a) final energy productivity,be,code11,114.4
2015,2008 = 100,a) time series,a) final energy productivity,be,code11,121.6
2016,2008 = 100,a) time series,a) final energy productivity,be,code11,123.9
2008,2008 = 100,a) time series,a) final energy productivity,bb,code12,100.0
2009,2008 = 100,a) time series,a) final energy productivity,bb,code12,101.2
2010,2008 = 100,a) time series,a) final energy productivity,bb,code12,97.4
2011,2008 = 100,a) time series,a) final energy productivity,bb,code12,99.2
2012,2008 = 100,a) time series,a) final energy productivity,bb,code12,99.5
2013,2008 = 100,a) time series,a) final energy productivity,bb,code12,96.0
2014,2008 = 100,a) time series,a) final energy productivity,bb,code12,103.6
2015,2008 = 100,a) time series,a) final energy productivity,bb,code12,107.0
2016,2008 = 100,a) time series,a) final energy productivity,bb,code12,104.6
2008,2008 = 100,a) time series,a) final energy productivity,hb,code04,100.0
2009,2008 = 100,a) time series,a) final energy productivity,hb,code04,97.6
2010,2008 = 100,a) time series,a) final energy productivity,hb,code04,91.2
2011,2008 = 100,a) time series,a) final energy productivity,hb,code04,96.1
2012,2008 = 100,a) time series,a) final energy productivity,hb,code04,100.1
2013,2008 = 100,a) time series,a) final energy productivity,hb,code04,99.9
2014,2008 = 100,a) time series,a) final energy productivity,hb,code04,95.1
2015,2008 = 100,a) time series,a) final energy productivity,hb,code04,98.0
2016,2008 = 100,a) time series,a) final energy productivity,hb,code04,98.9
2008,2008 = 100,a) time series,a) final energy productivity,hh,code02,100.0
2009,2008 = 100,a) time series,a) final energy productivity,hh,code02,97.1
2010,2008 = 100,a) time series,a) final energy productivity,hh,code02,94.3
2011,2008 = 100,a) time series,a) final energy productivity,hh,code02,101.2
2012,2008 = 100,a) time series,a) final energy productivity,hh,code02,99.6
2013,2008 = 100,a) time series,a) final energy productivity,hh,code02,104.1
2014,2008 = 100,a) time series,a) final energy productivity,hh,code02,110.5
2015,2008 = 100,a) time series,a) final energy productivity,hh,code02,110.0
2016,2008 = 100,a) time series,a) final energy productivity,hh,code02,110.8
2008,2008 = 100,a) time series,a) final energy productivity,he,code06,100.0
2009,2008 = 100,a) time series,a) final energy productivity,he,code06,97.2
2010,2008 = 100,a) time series,a) final energy productivity,he,code06,98.1
2011,2008 = 100,a) time series,a) final energy productivity,he,code06,105.6
2012,2008 = 100,a) time series,a) final energy productivity,he,code06,104.0
2013,2008 = 100,a) time series,a) final energy productivity,he,code06,102.2
2014,2008 = 100,a) time series,a) final energy productivity,he,code06,105.8
2015,2008 = 100,a) time series,a) final energy productivity,he,code06,104.5
2016,2008 = 100,a) time series,a) final energy productivity,he,code06,104.9
2008,2008 = 100,a) time series,a) final energy productivity,mv,code13,100.0
2009,2008 = 100,a) time series,a) final energy productivity,mv,code13,100.4
2010,2008 = 100,a) time series,a) final energy productivity,mv,code13,93.9
2011,2008 = 100,a) time series,a) final energy productivity,mv,code13,103.3
2012,2008 = 100,a) time series,a) final energy productivity,mv,code13,99.7
2013,2008 = 100,a) time series,a) final energy productivity,mv,code13,97.7
2014,2008 = 100,a) time series,a) final energy productivity,mv,code13,103.2
2008,2008 = 100,a) time series,a) final energy productivity,ni,code03,100.0
2009,2008 = 100,a) time series,a) final energy productivity,ni,code03,99.4
2010,2008 = 100,a) time series,a) final energy productivity,ni,code03,97.7
2011,2008 = 100,a) time series,a) final energy productivity,ni,code03,107.8
2012,2008 = 100,a) time series,a) final energy productivity,ni,code03,111.6
2013,2008 = 100,a) time series,a) final energy productivity,ni,code03,109.1
2014,2008 = 100,a) time series,a) final energy productivity,ni,code03,114.9
2015,2008 = 100,a) time series,a) final energy productivity,ni,code03,115.2
2016,2008 = 100,a) time series,a) final energy productivity,ni,code03,120.9
2008,2008 = 100,a) time series,a) final energy productivity,nw,code05,100.0
2009,2008 = 100,a) time series,a) final energy productivity,nw,code05,107.0
2010,2008 = 100,a) time series,a) final energy productivity,nw,code05,102.4
2011,2008 = 100,a) time series,a) final energy productivity,nw,code05,111.8
2012,2008 = 100,a) time series,a) final energy productivity,nw,code05,113.0
2013,2008 = 100,a) time series,a) final energy productivity,nw,code05,112.7
2014,2008 = 100,a) time series,a) final energy productivity,nw,code05,117.7
2015,2008 = 100,a) time series,a) final energy productivity,nw,code05,118.9
2008,2008 = 100,a) time series,a) final energy productivity,rp,code07,100.0
2009,2008 = 100,a) time series,a) final energy productivity,rp,code07,99.7
2010,2008 = 100,a) time series,a) final energy productivity,rp,code07,99.8
2011,2008 = 100,a) time series,a) final energy productivity,rp,code07,110.2
2012,2008 = 100,a) time series,a) final energy productivity,rp,code07,113.2
2013,2008 = 100,a) time series,a) final energy productivity,rp,code07,109.4
2014,2008 = 100,a) time series,a) final energy productivity,rp,code07,115.3
2015,2008 = 100,a) time series,a) final energy productivity,rp,code07,116.8
2016,2008 = 100,a) time series,a) final energy productivity,rp,code07,114.6
2008,2008 = 100,a) time series,a) final energy productivity,sn,code14,100.0
2009,2008 = 100,a) time series,a) final energy productivity,sn,code14,97.2
2010,2008 = 100,a) time series,a) final energy productivity,sn,code14,94.6
2011,2008 = 100,a) time series,a) final energy productivity,sn,code14,104.8
2012,2008 = 100,a) time series,a) final energy productivity,sn,code14,100.6
2013,2008 = 100,a) time series,a) final energy productivity,sn,code14,98.6
2014,2008 = 100,a) time series,a) final energy productivity,sn,code14,107.3
2015,2008 = 100,a) time series,a) final energy productivity,sn,code14,107.7
2016,2008 = 100,a) time series,a) final energy productivity,sn,code14,106.7
2008,2008 = 100,a) time series,a) final energy productivity,st,code15,100.0
2009,2008 = 100,a) time series,a) final energy productivity,st,code15,95.9
2010,2008 = 100,a) time series,a) final energy productivity,st,code15,92.0
2011,2008 = 100,a) time series,a) final energy productivity,st,code15,95.1
2012,2008 = 100,a) time series,a) final energy productivity,st,code15,94.0
2013,2008 = 100,a) time series,a) final energy productivity,st,code15,93.7
2014,2008 = 100,a) time series,a) final energy productivity,st,code15,98.9
2015,2008 = 100,a) time series,a) final energy productivity,st,code15,100.6
2016,2008 = 100,a) time series,a) final energy productivity,st,code15,99.4
2008,2008 = 100,a) time series,a) final energy productivity,sh,code01,100.0
2009,2008 = 100,a) time series,a) final energy productivity,sh,code01,99.6
2010,2008 = 100,a) time series,a) final energy productivity,sh,code01,95.3
2011,2008 = 100,a) time series,a) final energy productivity,sh,code01,102.4
2012,2008 = 100,a) time series,a) final energy productivity,sh,code01,104.4
2013,2008 = 100,a) time series,a) final energy productivity,sh,code01,101.2
2014,2008 = 100,a) time series,a) final energy productivity,sh,code01,109.3
2015,2008 = 100,a) time series,a) final energy productivity,sh,code01,108.6
2016,2008 = 100,a) time series,a) final energy productivity,sh,code01,110.7
2008,2008 = 100,a) time series,b) primary energy consumption,,,100.0
2009,2008 = 100,a) time series,b) primary energy consumption,,,94.1
2010,2008 = 100,a) time series,b) primary energy consumption,,,98.9
2011,2008 = 100,a) time series,b) primary energy consumption,,,94.6
2012,2008 = 100,a) time series,b) primary energy consumption,,,93.5
2013,2008 = 100,a) time series,b) primary energy consumption,,,96.1
