Year,Units,display,Value
1990,percentage (%),a) time series,2.0
1993,percentage (%),a) time series,2.1
1995,percentage (%),a) time series,2.2
1996,percentage (%),a) time series,2.1
1997,percentage (%),a) time series,2.8
1998,percentage (%),a) time series,3.2
1999,percentage (%),a) time series,3.4
2000,percentage (%),a) time series,3.7
2001,percentage (%),a) time series,4.0
2002,percentage (%),a) time series,4.4
2003,percentage (%),a) time series,5.8
2004,percentage (%),a) time series,6.2
2005,percentage (%),a) time series,7.1
2006,percentage (%),a) time series,8.4
2007,percentage (%),a) time series,10.2
2008,percentage (%),a) time series,10.1
2009,percentage (%),a) time series,10.7
2010,percentage (%),a) time series,11.4
2011,percentage (%),a) time series,12.4
2012,percentage (%),a) time series,13.6
2013,percentage (%),a) time series,13.8
2014,percentage (%),a) time series,14.3
2015,percentage (%),a) time series,15.1
2016,percentage (%),a) time series,14.8
2017,percentage (%),a) time series,15.9
2018,percentage (%),a) time series,16.7
2020,percentage (%),b) target (min),18.0
2030,percentage (%),b) target (min),30.0
2050,percentage (%),b) target (min),60.0
