Year,Units,display,Bundesland,GeoCode,Value
1990,percentage (%),a) time series,a) germany (total),,3.4
1991,percentage (%),a) time series,a) germany (total),,3.1
1992,percentage (%),a) time series,a) germany (total),,3.6
1993,percentage (%),a) time series,a) germany (total),,3.8
1994,percentage (%),a) time series,a) germany (total),,4.3
1995,percentage (%),a) time series,a) germany (total),,4.7
1996,percentage (%),a) time series,a) germany (total),,4.7
1997,percentage (%),a) time series,a) germany (total),,4.1
1998,percentage (%),a) time series,a) germany (total),,4.5
1999,percentage (%),a) time series,a) germany (total),,5.2
2000,percentage (%),a) time series,a) germany (total),,6.3
2001,percentage (%),a) time series,a) germany (total),,6.6
2002,percentage (%),a) time series,a) germany (total),,7.7
2003,percentage (%),a) time series,a) germany (total),,7.7
2004,percentage (%),a) time series,a) germany (total),,9.4
2005,percentage (%),a) time series,a) germany (total),,10.3
2006,percentage (%),a) time series,a) germany (total),,11.6
2007,percentage (%),a) time series,a) germany (total),,14.3
2008,percentage (%),a) time series,a) germany (total),,15.2
2009,percentage (%),a) time series,a) germany (total),,16.4
2010,percentage (%),a) time series,a) germany (total),,17.0
2011,percentage (%),a) time series,a) germany (total),,20.4
2012,percentage (%),a) time series,a) germany (total),,23.5
2013,percentage (%),a) time series,a) germany (total),,25.1
2014,percentage (%),a) time series,a) germany (total),,27.4
2015,percentage (%),a) time series,a) germany (total),,31.5
2016,percentage (%),a) time series,a) germany (total),,31.6
2017,percentage (%),a) time series,a) germany (total),,36.0
2018,percentage (%),a) time series,a) germany (total),,37.8
2020,percentage (%),b) target (min),a) germany (total),,35.0
2030,percentage (%),b) target (min),a) germany (total),,50.0
2050,percentage (%),b) target (min),a) germany (total),,80.0
1990,percentage (%),a) time series,bw,code08,8.1
1991,percentage (%),a) time series,bw,code08,7.5
1992,percentage (%),a) time series,bw,code08,8.1
1993,percentage (%),a) time series,bw,code08,7.0
1994,percentage (%),a) time series,bw,code08,7.5
1995,percentage (%),a) time series,bw,code08,7.8
1996,percentage (%),a) time series,bw,code08,6.6
1997,percentage (%),a) time series,bw,code08,7.4
1998,percentage (%),a) time series,bw,code08,6.3
1999,percentage (%),a) time series,bw,code08,7.2
2000,percentage (%),a) time series,bw,code08,11.6
2001,percentage (%),a) time series,bw,code08,8.7
2002,percentage (%),a) time series,bw,code08,8.6
2003,percentage (%),a) time series,bw,code08,6.3
2004,percentage (%),a) time series,bw,code08,7.4
2005,percentage (%),a) time series,bw,code08,8.8
2006,percentage (%),a) time series,bw,code08,10.3
2007,percentage (%),a) time series,bw,code08,11.5
2008,percentage (%),a) time series,bw,code08,11.6
2009,percentage (%),a) time series,bw,code08,12.3
2010,percentage (%),a) time series,bw,code08,14.0
2011,percentage (%),a) time series,bw,code08,15.5
2012,percentage (%),a) time series,bw,code08,18.3
2013,percentage (%),a) time series,bw,code08,19.1
2014,percentage (%),a) time series,bw,code08,20.0
2015,percentage (%),a) time series,bw,code08,20.1
2016,percentage (%),a) time series,bw,code08,21.4
1995,percentage (%),a) time series,by,code09,18.7
1996,percentage (%),a) time series,by,code09,17.0
1997,percentage (%),a) time series,by,code09,16.5
1998,percentage (%),a) time series,by,code09,17.3
1999,percentage (%),a) time series,by,code09,19.2
2000,percentage (%),a) time series,by,code09,19.1
2001,percentage (%),a) time series,by,code09,18.0
2002,percentage (%),a) time series,by,code09,20.6
2003,percentage (%),a) time series,by,code09,18.2
2004,percentage (%),a) time series,by,code09,19.0
2005,percentage (%),a) time series,by,code09,18.4
2006,percentage (%),a) time series,by,code09,20.0
2007,percentage (%),a) time series,by,code09,22.1
2008,percentage (%),a) time series,by,code09,22.6
2009,percentage (%),a) time series,by,code09,24.6
2010,percentage (%),a) time series,by,code09,26.4
2011,percentage (%),a) time series,by,code09,27.7
2012,percentage (%),a) time series,by,code09,35.2
2013,percentage (%),a) time series,by,code09,37.1
2014,percentage (%),a) time series,by,code09,38.4
2015,percentage (%),a) time series,by,code09,40.3
2016,percentage (%),a) time series,by,code09,42.3
1990,percentage (%),a) time series,be,code11,0.0
1991,percentage (%),a) time series,be,code11,0.0
1992,percentage (%),a) time series,be,code11,0.0
1993,percentage (%),a) time series,be,code11,0.0
1994,percentage (%),a) time series,be,code11,0.0
1995,percentage (%),a) time series,be,code11,0.0
1996,percentage (%),a) time series,be,code11,0.0
1997,percentage (%),a) time series,be,code11,0.0
1998,percentage (%),a) time series,be,code11,0.0
1999,percentage (%),a) time series,be,code11,0.0
2003,percentage (%),a) time series,be,code11,0.6
2004,percentage (%),a) time series,be,code11,0.7
2005,percentage (%),a) time series,be,code11,0.8
2006,percentage (%),a) time series,be,code11,0.8
2007,percentage (%),a) time series,be,code11,0.8
2008,percentage (%),a) time series,be,code11,1.1
2009,percentage (%),a) time series,be,code11,2.1
2010,percentage (%),a) time series,be,code11,2.4
2011,percentage (%),a) time series,be,code11,2.4
2012,percentage (%),a) time series,be,code11,1.7
2013,percentage (%),a) time series,be,code11,1.9
2014,percentage (%),a) time series,be,code11,2.2
2015,percentage (%),a) time series,be,code11,2.5
2016,percentage (%),a) time series,be,code11,2.5
2001,percentage (%),a) time series,bb,code12,6.0
2002,percentage (%),a) time series,bb,code12,9.3
2003,percentage (%),a) time series,bb,code12,15.1
2004,percentage (%),a) time series,bb,code12,19.8
2005,percentage (%),a) time series,bb,code12,23.5
2006,percentage (%),a) time series,bb,code12,29.7
2007,percentage (%),a) time series,bb,code12,41.1
2008,percentage (%),a) time series,bb,code12,39.8
2009,percentage (%),a) time series,bb,code12,43.0
2010,percentage (%),a) time series,bb,code12,50.6
2011,percentage (%),a) time series,bb,code12,57.6
2012,percentage (%),a) time series,bb,code12,58.6
2013,percentage (%),a) time series,bb,code12,62.2
2014,percentage (%),a) time series,bb,code12,64.9
2015,percentage (%),a) time series,bb,code12,72.1
2016,percentage (%),a) time series,bb,code12,73.2
1990,percentage (%),a) time series,hb,code04,1.2
1991,percentage (%),a) time series,hb,code04,1.4
1992,percentage (%),a) time series,hb,code04,1.5
1993,percentage (%),a) time series,hb,code04,1.8
1994,percentage (%),a) time series,hb,code04,1.6
1995,percentage (%),a) time series,hb,code04,1.7
1996,percentage (%),a) time series,hb,code04,1.7
1997,percentage (%),a) time series,hb,code04,1.6
1998,percentage (%),a) time series,hb,code04,1.8
1999,percentage (%),a) time series,hb,code04,1.9
2000,percentage (%),a) time series,hb,code04,1.9
2001,percentage (%),a) time series,hb,code04,2.6
2002,percentage (%),a) time series,hb,code04,2.2
2003,percentage (%),a) time series,hb,code04,2.3
2004,percentage (%),a) time series,hb,code04,2.6
2005,percentage (%),a) time series,hb,code04,4.0
2006,percentage (%),a) time series,hb,code04,4.3
2007,percentage (%),a) time series,hb,code04,5.1
2008,percentage (%),a) time series,hb,code04,5.9
2009,percentage (%),a) time series,hb,code04,6.2
2010,percentage (%),a) time series,hb,code04,7.2
2011,percentage (%),a) time series,hb,code04,9.0
2012,percentage (%),a) time series,hb,code04,10.3
2013,percentage (%),a) time series,hb,code04,13.1
2014,percentage (%),a) time series,hb,code04,14.2
2015,percentage (%),a) time series,hb,code04,15.2
2016,percentage (%),a) time series,hb,code04,13.9
2003,percentage (%),a) time series,hh,code02,1.1
2004,percentage (%),a) time series,hh,code02,1.2
2005,percentage (%),a) time series,hh,code02,1.3
2006,percentage (%),a) time series,hh,code02,2.7
2007,percentage (%),a) time series,hh,code02,2.7
2008,percentage (%),a) time series,hh,code02,2.7
2009,percentage (%),a) time series,hh,code02,2.9
2010,percentage (%),a) time series,hh,code02,2.6
2011,percentage (%),a) time series,hh,code02,2.8
2012,percentage (%),a) time series,hh,code02,2.9
2013,percentage (%),a) time series,hh,code02,2.8
2014,percentage (%),a) time series,hh,code02,3.7
2015,percentage (%),a) time series,hh,code02,3.9
2016,percentage (%),a) time series,hh,code02,3.3
1990,percentage (%),a) time series,he,code06,0.8
1995,percentage (%),a) time series,he,code06,1.5
1996,percentage (%),a) time series,he,code06,1.4
1997,percentage (%),a) time series,he,code06,1.5
1998,percentage (%),a) time series,he,code06,1.9
1999,percentage (%),a) time series,he,code06,2.1
2000,percentage (%),a) time series,he,code06,2.2
2001,percentage (%),a) time series,he,code06,2.8
2002,percentage (%),a) time series,he,code06,2.9
2003,percentage (%),a) time series,he,code06,2.9
2004,percentage (%),a) time series,he,code06,3.5
2005,percentage (%),a) time series,he,code06,3.8
2006,percentage (%),a) time series,he,code06,4.3
2007,percentage (%),a) time series,he,code06,5.4
2008,percentage (%),a) time series,he,code06,5.6
2009,percentage (%),a) time series,he,code06,6.7
2010,percentage (%),a) time series,he,code06,7.9
2011,percentage (%),a) time series,he,code06,9.8
2012,percentage (%),a) time series,he,code06,11.1
