Year,Units,display,title,Value
1991,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.1891
1992,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.605
1993,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.0949
1994,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.5238
1995,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-9.4322
1996,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.5704
1997,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.9421
1998,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-2.5669
1999,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.7192
2000,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.5847
2001,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.0254
2002,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.875
2003,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.7042
2004,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.3342
2005,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.3194
2006,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-1.6532
2007,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.2609
2008,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.1164
2009,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-3.1505
2010,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-4.3786
2011,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-0.8814
2012,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.0093
2013,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.04
2014,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.5796
2015,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),0.9606
2016,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.1604
2017,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.3619
2018,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.8366
2019,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),1.5213
2020,percentage (%),a) time series,funding balance (share of gross domestic product (at current prices) in %),-4.7528
2007,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2008,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2009,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2010,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2011,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2012,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2013,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2014,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2015,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2016,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2017,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2018,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2019,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2020,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2025,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2030,percentage (%),b) target (min),funding balance (share of gross domestic product (at current prices) in %),-3.0
2005,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-2.164
2006,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-1.7875
2007,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.6837
2008,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.5984
2009,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-0.4385
2010,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-2.0783
2011,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),-1.1718
2012,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.1356
2013,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.6161
2014,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.8733
2015,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),1.0531
2016,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.8962
2017,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.6011
2018,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.8402
2019,percentage (%),a) time series,structural funding balance (share of gross domestic product (at current prices) in %),0.5608
2010,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2011,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2012,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2013,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2014,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2015,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2016,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
2017,percentage (%),b) target (min),structural funding balance (share of gross domestic product (at current prices) in %),-0.5
