Year,Units,display,title,Value
7-12 2018,percentage (%),a) time series,all line-based technologies,27.3
1-6 2019,percentage (%),a) time series,all line-based technologies,34.1
7-12 2019,percentage (%),a) time series,all line-based technologies,43.22
1-6 2020,percentage (%),a) time series,all line-based technologies,55.9
2025,percentage (%),b) target (min),all line-based technologies,100.0
7-12 2015,percentage (%),a) time series,pure fiber optic networks (fttb/h),6.7
1-6 2016,percentage (%),a) time series,pure fiber optic networks (fttb/h),7.1
7-12 2016,percentage (%),a) time series,pure fiber optic networks (fttb/h),7.1
1-6 2017,percentage (%),a) time series,pure fiber optic networks (fttb/h),7.3
7-12 2017,percentage (%),a) time series,pure fiber optic networks (fttb/h),8.0
1-6 2018,percentage (%),a) time series,pure fiber optic networks (fttb/h),8.5
7-12 2018,percentage (%),a) time series,pure fiber optic networks (fttb/h),9.0
1-6 2019,percentage (%),a) time series,pure fiber optic networks (fttb/h),10.5
7-12 2019,percentage (%),a) time series,pure fiber optic networks (fttb/h),11.82
1-6 2020,percentage (%),a) time series,pure fiber optic networks (fttb/h),13.8
7-12 2018,percentage (%),a) time series,cable television (catv),23.7
1-6 2019,percentage (%),a) time series,cable television (catv),29.3
7-12 2019,percentage (%),a) time series,cable television (catv),37.83
1-6 2020,percentage (%),a) time series,cable television (catv),50.2
