Year,Units,COMMENT_OBS_0,Zeitreihe,Value
2015,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,100.0
2016,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,101.967
2017,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,104.317
2018,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,105.875
2019,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,104.813
2020,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,101.204
2021,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,103.64
2022,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,101.19
2023,2015 = 100,r,Endenergieverbrauch durch Güterbeförderung,95.511
2024,2015 = 100,,Endenergieverbrauch durch Güterbeförderung,95.027
2030,2015 = 100,…,Endenergieverbrauch durch Güterbeförderung,
2015,2015 = 100,,Güterbeförderungsleistung,100.0
2016,2015 = 100,,Güterbeförderungsleistung,104.009
2017,2015 = 100,,Güterbeförderungsleistung,106.532
2018,2015 = 100,,Güterbeförderungsleistung,106.794
2019,2015 = 100,,Güterbeförderungsleistung,107.315
2020,2015 = 100,,Güterbeförderungsleistung,103.279
2021,2015 = 100,,Güterbeförderungsleistung,108.428
2022,2015 = 100,,Güterbeförderungsleistung,107.898
2023,2015 = 100,r,Güterbeförderungsleistung,102.488
2024,2015 = 100,,Güterbeförderungsleistung,101.987
2030,2015 = 100,…,Güterbeförderungsleistung,
2015,2015 = 100,,Energieverbrauch je Tonnenkilometer,100.0
2016,2015 = 100,r,Energieverbrauch je Tonnenkilometer,98.037
2017,2015 = 100,r,Energieverbrauch je Tonnenkilometer,97.921
2018,2015 = 100,r,Energieverbrauch je Tonnenkilometer,99.139
2019,2015 = 100,r,Energieverbrauch je Tonnenkilometer,97.668
2020,2015 = 100,r,Energieverbrauch je Tonnenkilometer,97.99
2021,2015 = 100,r,Energieverbrauch je Tonnenkilometer,95.584
2022,2015 = 100,r,Energieverbrauch je Tonnenkilometer,93.782
2023,2015 = 100,r,Energieverbrauch je Tonnenkilometer,93.193
2024,2015 = 100,,Energieverbrauch je Tonnenkilometer,93.176
2030,2015 = 100,…,Energieverbrauch je Tonnenkilometer,
