Year,Units,Zeitreihe,COMMENT_OBS_0,Value
2015,2015 = 100,Endenergieverbrauch im Personenverkehr,,100.0
2016,2015 = 100,Endenergieverbrauch im Personenverkehr,,100.966
2017,2015 = 100,Endenergieverbrauch im Personenverkehr,,101.473
2018,2015 = 100,Endenergieverbrauch im Personenverkehr,,101.33
2019,2015 = 100,Endenergieverbrauch im Personenverkehr,r,101.747
2020,2015 = 100,Endenergieverbrauch im Personenverkehr,r,84.863
2021,2015 = 100,Endenergieverbrauch im Personenverkehr,r,86.153
2022,2015 = 100,Endenergieverbrauch im Personenverkehr,r,87.179
2023,2015 = 100,Endenergieverbrauch im Personenverkehr,r,88.447
2024,2015 = 100,Endenergieverbrauch im Personenverkehr,,88.631
2030,2015 = 100,Endenergieverbrauch im Personenverkehr,…,
2015,2015 = 100,Personenbeförderungsleistung,,100.0
2016,2015 = 100,Personenbeförderungsleistung,,100.939
2017,2015 = 100,Personenbeförderungsleistung,,101.245
2018,2015 = 100,Personenbeförderungsleistung,,101.396
2019,2015 = 100,Personenbeförderungsleistung,,101.952
2020,2015 = 100,Personenbeförderungsleistung,,80.107
2021,2015 = 100,Personenbeförderungsleistung,r,80.888
2022,2015 = 100,Personenbeförderungsleistung,r,87.218
2023,2015 = 100,Personenbeförderungsleistung,r,90.4498255
2024,2015 = 100,Personenbeförderungsleistung,,91.814
2030,2015 = 100,Personenbeförderungsleistung,…,
2015,2015 = 100,Energieverbrauch je Personenkilometer,,100.0
2016,2015 = 100,Energieverbrauch je Personenkilometer,,100.026
2017,2015 = 100,Energieverbrauch je Personenkilometer,,100.225
2018,2015 = 100,Energieverbrauch je Personenkilometer,,99.935
2019,2015 = 100,Energieverbrauch je Personenkilometer,r,99.799
2020,2015 = 100,Energieverbrauch je Personenkilometer,r,105.938
2021,2015 = 100,Energieverbrauch je Personenkilometer,r,106.508
2022,2015 = 100,Energieverbrauch je Personenkilometer,r,99.955
2023,2015 = 100,Energieverbrauch je Personenkilometer,r,97.785
2024,2015 = 100,Energieverbrauch je Personenkilometer,,96.533
2030,2015 = 100,Energieverbrauch je Personenkilometer,…,
