Year,Units,Zeitreihe,Value
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,23.49
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,22.41
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,21.86
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,20.5
2024,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,17.7
2013,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2014,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2015,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2017,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2019,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2021,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2022,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2023,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,23.5
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,22.75
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,22.5
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,21.3
2024,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2013,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2014,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2015,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2017,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2019,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2021,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2022,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
2023,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,
