Year,Units,Teilindizes,Value
1990,2030 = 100,,136.263
1991,2030 = 100,,127.755
1992,2030 = 100,,119.916
1993,2030 = 100,,126.218
1994,2030 = 100,,126.751
1995,2030 = 100,,113.45
1996,2030 = 100,,119.46
1997,2030 = 100,,108.517
1998,2030 = 100,,102.154
1999,2030 = 100,,108.982
2000,2030 = 100,,101.831
2001,2030 = 100,,99.816
2002,2030 = 100,,93.221
2003,2030 = 100,,89.021
2004,2030 = 100,,92.82
2005,2030 = 100,,91.002
2006,2030 = 100,,86.532
2007,2030 = 100,,87.294
2008,2030 = 100,,88.442
2009,2030 = 100,,82.514
2010,2030 = 100,,79.533
2011,2030 = 100,,77.341
2012,2030 = 100,,80.342
2013,2030 = 100,,76.917
2014,2030 = 100,,75.893
2015,2030 = 100,,79.976
2016,2030 = 100,,79.954
2017,2030 = 100,,75.555
2018,2030 = 100,,73.664
2019,2030 = 100,,75.343
2030,2030 = 100,,
1990,2030 = 100,Teilindex Wälder,93.091
1991,2030 = 100,Teilindex Wälder,85.588
1992,2030 = 100,Teilindex Wälder,82.071
1993,2030 = 100,Teilindex Wälder,82.621
1994,2030 = 100,Teilindex Wälder,83.248
1995,2030 = 100,Teilindex Wälder,73.519
1996,2030 = 100,Teilindex Wälder,80.348
1997,2030 = 100,Teilindex Wälder,80.014
1998,2030 = 100,Teilindex Wälder,72.826
1999,2030 = 100,Teilindex Wälder,77.245
2000,2030 = 100,Teilindex Wälder,74.171
2001,2030 = 100,Teilindex Wälder,74.499
2002,2030 = 100,Teilindex Wälder,71.959
2003,2030 = 100,Teilindex Wälder,72.261
2004,2030 = 100,Teilindex Wälder,73.984
2005,2030 = 100,Teilindex Wälder,74.393
2006,2030 = 100,Teilindex Wälder,75.605
2007,2030 = 100,Teilindex Wälder,71.83
2008,2030 = 100,Teilindex Wälder,78.006
2009,2030 = 100,Teilindex Wälder,70.084
2010,2030 = 100,Teilindex Wälder,76.674
2011,2030 = 100,Teilindex Wälder,75.961
2012,2030 = 100,Teilindex Wälder,83.793
2013,2030 = 100,Teilindex Wälder,81.828
2014,2030 = 100,Teilindex Wälder,77.085
2015,2030 = 100,Teilindex Wälder,82.96
2016,2030 = 100,Teilindex Wälder,80.307
2017,2030 = 100,Teilindex Wälder,79.886
2018,2030 = 100,Teilindex Wälder,78.388
2019,2030 = 100,Teilindex Wälder,80.942
1990,2030 = 100,Teilindex Siedlungen,93.241
1991,2030 = 100,Teilindex Siedlungen,87.239
1992,2030 = 100,Teilindex Siedlungen,83.472
1993,2030 = 100,Teilindex Siedlungen,91.762
1994,2030 = 100,Teilindex Siedlungen,87.149
1995,2030 = 100,Teilindex Siedlungen,92.875
1996,2030 = 100,Teilindex Siedlungen,104.822
1997,2030 = 100,Teilindex Siedlungen,96.197
1998,2030 = 100,Teilindex Siedlungen,93.287
1999,2030 = 100,Teilindex Siedlungen,90.942
2000,2030 = 100,Teilindex Siedlungen,85.785
2001,2030 = 100,Teilindex Siedlungen,83.764
2002,2030 = 100,Teilindex Siedlungen,76.126
2003,2030 = 100,Teilindex Siedlungen,72.063
2004,2030 = 100,Teilindex Siedlungen,80.454
2005,2030 = 100,Teilindex Siedlungen,76.663
2006,2030 = 100,Teilindex Siedlungen,74.543
2007,2030 = 100,Teilindex Siedlungen,76.435
2008,2030 = 100,Teilindex Siedlungen,69.799
2009,2030 = 100,Teilindex Siedlungen,71.961
2010,2030 = 100,Teilindex Siedlungen,73.897
2011,2030 = 100,Teilindex Siedlungen,80.694
2012,2030 = 100,Teilindex Siedlungen,78.344
2013,2030 = 100,Teilindex Siedlungen,75.87
2014,2030 = 100,Teilindex Siedlungen,77.492
2015,2030 = 100,Teilindex Siedlungen,78.863
2016,2030 = 100,Teilindex Siedlungen,81.23
2017,2030 = 100,Teilindex Siedlungen,81.395
2018,2030 = 100,Teilindex Siedlungen,78.902
2019,2030 = 100,Teilindex Siedlungen,80.262
1990,2030 = 100,Teilindex Agrarland,183.023
1991,2030 = 100,Teilindex Agrarland,174.228
1992,2030 = 100,Teilindex Agrarland,161.626
1993,2030 = 100,Teilindex Agrarland,171.814
1994,2030 = 100,Teilindex Agrarland,172.437
1995,2030 = 100,Teilindex Agrarland,149.018
1996,2030 = 100,Teilindex Agrarland,155.384
1997,2030 = 100,Teilindex Agrarland,136.613
1998,2030 = 100,Teilindex Agrarland,128.139
1999,2030 = 100,Teilindex Agrarland,138.234
2000,2030 = 100,Teilindex Agrarland,127.657
