Year,Units,Zeitreihe,COMMENT_OBS_0,Geschlecht,Value
2024,Anzahl,Ausgebildetes Personal,,,182.0
2025,Anzahl,Ausgebildetes Personal,,,256.0
2030,Anzahl,Ausgebildetes Personal,,,1000.0
2023,Anzahl,Ausgebildetes Personal,.,,
2025,Anzahl,Ausgebildetes Personal,,,256.0
2024,Anzahl,Noch fehlende Ausbildungsleistung,,,818.0
2025,Anzahl,Noch fehlende Ausbildungsleistung,,,744.0
2030,Anzahl,Noch fehlende Ausbildungsleistung,…,,
2023,Anzahl,Noch fehlende Ausbildungsleistung,.,,
2025,Anzahl,Noch fehlende Ausbildungsleistung,,,744.0
2024,Anzahl,Ausgebildetes Personal,,Weiblich,33.0
2025,Anzahl,Ausgebildetes Personal,,Weiblich,39.0
2030,Anzahl,Ausgebildetes Personal,…,Weiblich,
2023,Anzahl,Ausgebildetes Personal,.,Weiblich,
2025,Anzahl,Ausgebildetes Personal,,Weiblich,39.0
2024,Anzahl,Ausgebildetes Personal,,Männlich,149.0
2025,Anzahl,Ausgebildetes Personal,,Männlich,217.0
2030,Anzahl,Ausgebildetes Personal,…,Männlich,
2023,Anzahl,Ausgebildetes Personal,.,Männlich,
2025,Anzahl,Ausgebildetes Personal,,Männlich,217.0
