Year,Series,Units,COMMENT_OBS_0,Value
2012,a) Corruption Perceptions Index in Deutschland,,,79.0
2013,a) Corruption Perceptions Index in Deutschland,,,78.0
2014,a) Corruption Perceptions Index in Deutschland,,,79.0
2015,a) Corruption Perceptions Index in Deutschland,,,81.0
2016,a) Corruption Perceptions Index in Deutschland,,,81.0
2017,a) Corruption Perceptions Index in Deutschland,,,81.0
2018,a) Corruption Perceptions Index in Deutschland,,,80.0
2019,a) Corruption Perceptions Index in Deutschland,,,80.0
2020,a) Corruption Perceptions Index in Deutschland,,,80.0
2021,a) Corruption Perceptions Index in Deutschland,,,80.0
2022,a) Corruption Perceptions Index in Deutschland,,,79.0
2023,a) Corruption Perceptions Index in Deutschland,,,78.0
2024,a) Corruption Perceptions Index in Deutschland,,,75.0
2012,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,.,
2013,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,16.0
2014,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,30.0
2015,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,30.0
2016,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,31.0
2017,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,32.0
2018,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,31.0
2019,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,34.0
2020,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,36.0
2021,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,36.0
2022,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,r,30.0
2023,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,,34.0
2024,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,Anzahl,,32.0
