Year,Units,Zeitreihe,COMMENT_OBS_0,Value
1990,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,
1991,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,
1992,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,
1993,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,
1994,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,116.806
1995,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,111.242
1996,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,109.376
1997,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,107.798
1998,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,108.164
1999,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,,109.076
2000,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,109.496
2001,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,108.318
2002,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,108.702
2003,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,108.144
2004,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,105.35
2005,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,102.74
2006,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,103.398
2007,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,102.176
2008,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,101.652
2009,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,98.828
2010,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,96.256
2011,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,96.372
2012,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,94.88
2013,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,93.32
2014,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,94.06
2015,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,97.196
2016,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,96.462
2017,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,96.682
2018,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,95.71
2019,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,94.006
2020,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,89.258
2021,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,82.86
2022,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,r,76.556
2023,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,p,69.764
2030,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt bezogen auf das Endjahr,…,
1990,Kilogramm pro Hektar,Berechnete jährliche Werte,,141.6
1991,Kilogramm pro Hektar,Berechnete jährliche Werte,,117.23
1992,Kilogramm pro Hektar,Berechnete jährliche Werte,,112.2
1993,Kilogramm pro Hektar,Berechnete jährliche Werte,,106.3
1994,Kilogramm pro Hektar,Berechnete jährliche Werte,,106.7
1995,Kilogramm pro Hektar,Berechnete jährliche Werte,,113.78
1996,Kilogramm pro Hektar,Berechnete jährliche Werte,,107.9
1997,Kilogramm pro Hektar,Berechnete jährliche Werte,,104.31
1998,Kilogramm pro Hektar,Berechnete jährliche Werte,,108.13
1999,Kilogramm pro Hektar,Berechnete jährliche Werte,,111.26
2000,Kilogramm pro Hektar,Berechnete jährliche Werte,r,115.88
2001,Kilogramm pro Hektar,Berechnete jährliche Werte,r,102.01
2002,Kilogramm pro Hektar,Berechnete jährliche Werte,r,106.23
2003,Kilogramm pro Hektar,Berechnete jährliche Werte,r,105.34
2004,Kilogramm pro Hektar,Berechnete jährliche Werte,r,97.29
2005,Kilogramm pro Hektar,Berechnete jährliche Werte,r,102.83
2006,Kilogramm pro Hektar,Berechnete jährliche Werte,r,105.3
2007,Kilogramm pro Hektar,Berechnete jährliche Werte,r,100.12
2008,Kilogramm pro Hektar,Berechnete jährliche Werte,r,102.72
2009,Kilogramm pro Hektar,Berechnete jährliche Werte,r,83.17
2010,Kilogramm pro Hektar,Berechnete jährliche Werte,r,89.97
2011,Kilogramm pro Hektar,Berechnete jährliche Werte,r,105.88
2012,Kilogramm pro Hektar,Berechnete jährliche Werte,r,92.66
2013,Kilogramm pro Hektar,Berechnete jährliche Werte,r,94.92
2014,Kilogramm pro Hektar,Berechnete jährliche Werte,r,86.87
2015,Kilogramm pro Hektar,Berechnete jährliche Werte,r,105.65
2016,Kilogramm pro Hektar,Berechnete jährliche Werte,r,102.21
2017,Kilogramm pro Hektar,Berechnete jährliche Werte,r,93.76
2018,Kilogramm pro Hektar,Berechnete jährliche Werte,r,90.06
2019,Kilogramm pro Hektar,Berechnete jährliche Werte,r,78.35
2020,Kilogramm pro Hektar,Berechnete jährliche Werte,r,81.91
2021,Kilogramm pro Hektar,Berechnete jährliche Werte,,70.22
2022,Kilogramm pro Hektar,Berechnete jährliche Werte,r,62.24
2023,Kilogramm pro Hektar,Berechnete jährliche Werte,p,56.1
