Year,Units,Zeitreihe,Value
2012,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,10.6
2013,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,11.6
2014,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,31.0
2015,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,11.0
2016,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,14.3
2017,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,28.6
2018,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,60.3
2019,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2020,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2021,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2022,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2023,Millionen,Mit einem neuen oder hochwertigeren Zugang zur Trinkwasserversorgung oder Anschluss zur Sanitärversorgung,
2012,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2013,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2014,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2015,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2016,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2017,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2018,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,
2019,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,14.3
2020,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,10.9
2021,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,9.3
2022,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,14.8
2023,Millionen,a) Mit einer neuen oder verbesserten Trinkwasserversorgung,10.2
2012,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2013,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2014,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2015,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2016,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2017,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2018,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,
2019,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,6.1
2020,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,1.8
2021,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,3.0
2022,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,6.3
2023,Millionen,b) Mit einer neuen oder verbesserten Basissanitärversorgung oder Abwasserbehandlung,3.0
