Year,Units,Series,Value
2008,2008 = 100,a) Endenergieproduktivität,100.0
2009,2008 = 100,a) Endenergieproduktivität,100.639
2010,2008 = 100,a) Endenergieproduktivität,98.304
2011,2008 = 100,a) Endenergieproduktivität,106.161
2012,2008 = 100,a) Endenergieproduktivität,105.707
2013,2008 = 100,a) Endenergieproduktivität,103.9
2014,2008 = 100,a) Endenergieproduktivität,112.129
2015,2008 = 100,a) Endenergieproduktivität,110.64
2016,2008 = 100,a) Endenergieproduktivität,112.256
2017,2008 = 100,a) Endenergieproduktivität,114.263
2018,2008 = 100,a) Endenergieproduktivität,116.973
2019,2008 = 100,a) Endenergieproduktivität,118.235
2020,2008 = 100,a) Endenergieproduktivität,121.138
2021,2008 = 100,a) Endenergieproduktivität,121.041
2022,2008 = 100,a) Endenergieproduktivität,126.62
2023,2008 = 100,a) Endenergieproduktivität,131.763
2024,2008 = 100,a) Endenergieproduktivität,
2030,2008 = 100,a) Endenergieproduktivität,
2008,2008 = 100,b) Primärenergieverbrauch,100.0
2009,2008 = 100,b) Primärenergieverbrauch,93.945
2010,2008 = 100,b) Primärenergieverbrauch,98.304
2011,2008 = 100,b) Primärenergieverbrauch,94.048
2012,2008 = 100,b) Primärenergieverbrauch,94.75
2013,2008 = 100,b) Primärenergieverbrauch,96.71
2014,2008 = 100,b) Primärenergieverbrauch,92.085
2015,2008 = 100,b) Primärenergieverbrauch,93.031
2016,2008 = 100,b) Primärenergieverbrauch,93.905
2017,2008 = 100,b) Primärenergieverbrauch,94.062
2018,2008 = 100,b) Primärenergieverbrauch,91.704
2019,2008 = 100,b) Primärenergieverbrauch,89.132
2020,2008 = 100,b) Primärenergieverbrauch,82.719
2021,2008 = 100,b) Primärenergieverbrauch,86.59
2022,2008 = 100,b) Primärenergieverbrauch,81.246
2023,2008 = 100,b) Primärenergieverbrauch,74.123
2024,2008 = 100,b) Primärenergieverbrauch,73.335
2030,2008 = 100,b) Primärenergieverbrauch,
