Year,Units,Bundesland,GeoCode,Value
2005,Prozent,,,7.1
2006,Prozent,,,8.4
2007,Prozent,,,10.2
2008,Prozent,,,10.1
2009,Prozent,,,10.7
2010,Prozent,,,11.4
2011,Prozent,,,12.5
2012,Prozent,,,13.6
2013,Prozent,,,13.8
2014,Prozent,,,14.3
2015,Prozent,,,15.2
2016,Prozent,,,14.9
2017,Prozent,,,16.0
2018,Prozent,,,16.8
2019,Prozent,,,17.7
2020,Prozent,,,19.7
2021,Prozent,,,19.2
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Baden-Württemberg,code08,6.87
2006,Prozent,Baden-Württemberg,code08,8.39
2007,Prozent,Baden-Württemberg,code08,9.65
2008,Prozent,Baden-Württemberg,code08,9.39
2009,Prozent,Baden-Württemberg,code08,9.9
2010,Prozent,Baden-Württemberg,code08,11.32
2011,Prozent,Baden-Württemberg,code08,11.42
2012,Prozent,Baden-Württemberg,code08,12.54
2013,Prozent,Baden-Württemberg,code08,12.6
2014,Prozent,Baden-Württemberg,code08,13.13
2015,Prozent,Baden-Württemberg,code08,12.96
2016,Prozent,Baden-Württemberg,code08,13.41
2017,Prozent,Baden-Württemberg,code08,13.66
2018,Prozent,Baden-Württemberg,code08,16.24
2019,Prozent,Baden-Württemberg,code08,16.35
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Bayern,code09,8.59
2006,Prozent,Bayern,code09,9.5
2007,Prozent,Bayern,code09,10.46
2008,Prozent,Bayern,code09,10.12
2009,Prozent,Bayern,code09,10.8
2010,Prozent,Bayern,code09,14.62
2011,Prozent,Bayern,code09,15.51
2012,Prozent,Bayern,code09,17.8
2013,Prozent,Bayern,code09,18.34
2014,Prozent,Bayern,code09,18.41
2015,Prozent,Bayern,code09,19.1
2016,Prozent,Bayern,code09,19.83
2017,Prozent,Bayern,code09,20.31
2018,Prozent,Bayern,code09,21.17
2019,Prozent,Bayern,code09,20.68
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Berlin,code11,1.25
2006,Prozent,Berlin,code11,1.93
2007,Prozent,Berlin,code11,2.35
2008,Prozent,Berlin,code11,1.64
2009,Prozent,Berlin,code11,2.17
2010,Prozent,Berlin,code11,2.84
2011,Prozent,Berlin,code11,3.28
2012,Prozent,Berlin,code11,3.36
2013,Prozent,Berlin,code11,3.56
2014,Prozent,Berlin,code11,3.36
2015,Prozent,Berlin,code11,3.58
2016,Prozent,Berlin,code11,3.48
2017,Prozent,Berlin,code11,3.74
2018,Prozent,Berlin,code11,4.2
2019,Prozent,Berlin,code11,4.55
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Brandenburg,code12,9.77
2006,Prozent,Brandenburg,code12,13.84
2007,Prozent,Brandenburg,code12,16.67
2008,Prozent,Brandenburg,code12,15.26
2009,Prozent,Brandenburg,code12,16.48
2010,Prozent,Brandenburg,code12,17.37
2011,Prozent,Brandenburg,code12,21.76
2012,Prozent,Brandenburg,code12,22.17
2013,Prozent,Brandenburg,code12,22.87
2014,Prozent,Brandenburg,code12,23.66
2015,Prozent,Brandenburg,code12,25.9
2016,Prozent,Brandenburg,code12,24.38
2017,Prozent,Brandenburg,code12,27.2
2018,Prozent,Brandenburg,code12,28.22
2019,Prozent,Brandenburg,code12,30.67
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Bremen,code04,2.08
2006,Prozent,Bremen,code04,2.59
2007,Prozent,Bremen,code04,2.72
2008,Prozent,Bremen,code04,2.72
2009,Prozent,Bremen,code04,2.93
2010,Prozent,Bremen,code04,3.24
2011,Prozent,Bremen,code04,3.54
2012,Prozent,Bremen,code04,3.72
2013,Prozent,Bremen,code04,4.32
2014,Prozent,Bremen,code04,5.06
2015,Prozent,Bremen,code04,4.6
2016,Prozent,Bremen,code04,4.21
2017,Prozent,Bremen,code04,4.48
2018,Prozent,Bremen,code04,5.23
2019,Prozent,Bremen,code04,5.37
2030,Prozent,,,
2040,Prozent,,,
2050,Prozent,,,
2005,Prozent,Hamburg,code02,2.75
