Year,Units,Zeitreihe,COMMENT_OBS_0,Value
2010,2010 = 100,Gesamtrohstoffproduktivität,,100.0
2011,2010 = 100,Gesamtrohstoffproduktivität,r,98.0
2012,2010 = 100,Gesamtrohstoffproduktivität,,100.0
2013,2010 = 100,Gesamtrohstoffproduktivität,,101.0
2014,2010 = 100,Gesamtrohstoffproduktivität,r,102.0
2015,2010 = 100,Gesamtrohstoffproduktivität,r,106.0
2016,2010 = 100,Gesamtrohstoffproduktivität,r,105.0
2017,2010 = 100,Gesamtrohstoffproduktivität,r,108.0
2018,2010 = 100,Gesamtrohstoffproduktivität,r,109.0
2019,2010 = 100,Gesamtrohstoffproduktivität,,111.0
2020,2010 = 100,Gesamtrohstoffproduktivität,,111.0
2021,2010 = 100,Gesamtrohstoffproduktivität,,116.0
2022,2010 = 100,Gesamtrohstoffproduktivität,p,127.0
2030,2010 = 100,Gesamtrohstoffproduktivität,…,
2010,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,100.0
2011,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,107.0
2012,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,105.0
2013,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,104.0
2014,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,106.0
2015,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,105.0
2016,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,109.0
2017,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,109.0
2018,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,110.0
2019,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",r,110.0
2020,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,104.0
2021,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",,105.0
2022,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",p,99.0
2030,2010 = 100,"Rohstoffeinsatz für Konsum, Investitionen und Exporte",…,
2010,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,100.0
2011,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,105.0
2012,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,105.0
2013,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,106.0
2014,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,108.0
2015,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,111.0
2016,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,114.0
2017,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,117.0
2018,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,120.0
2019,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,122.0
2020,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,116.0
2021,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",,121.0
2022,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",p,125.0
2030,2010 = 100,"Wert von Konsum, Investitionen und Exporten (preisbereinigt)",…,
2010,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,100.0
2011,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,108.0
2012,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,105.0
2013,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,102.0
2014,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,103.0
2015,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,100.0
2016,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,103.0
2017,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,106.0
2018,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,107.0
2019,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,106.0
2020,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,101.0
2021,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,,104.0
2022,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,p,100.0
2030,2010 = 100,Rohstoffeinsatz für Konsum und Investitionen,…,
2010,2010 = 100,Rohstoffeinsatz für Exporte,,100.0
2011,2010 = 100,Rohstoffeinsatz für Exporte,,106.0
2012,2010 = 100,Rohstoffeinsatz für Exporte,,104.0
2013,2010 = 100,Rohstoffeinsatz für Exporte,,106.0
2014,2010 = 100,Rohstoffeinsatz für Exporte,,108.0
2015,2010 = 100,Rohstoffeinsatz für Exporte,,109.0
2016,2010 = 100,Rohstoffeinsatz für Exporte,,114.0
2017,2010 = 100,Rohstoffeinsatz für Exporte,,112.0
2018,2010 = 100,Rohstoffeinsatz für Exporte,,114.0
2019,2010 = 100,Rohstoffeinsatz für Exporte,,113.0
2020,2010 = 100,Rohstoffeinsatz für Exporte,,107.0
2021,2010 = 100,Rohstoffeinsatz für Exporte,,105.0
2022,2010 = 100,Rohstoffeinsatz für Exporte,p,97.0
2030,2010 = 100,Rohstoffeinsatz für Exporte,…,
