Year,Units,Zeitreihe,Art der Fläche,Value
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,120.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,121.0
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,124.0
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,126.0
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,129.0
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,128.0
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,123.0
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,115.0
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,115.0
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,114.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,113.0
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,113.0
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,104.0
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,94.0
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,87.0
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,81.0
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,74.0
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,73.0
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,69.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,66.0
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,62.0
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,58.0
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,56.0
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,52.0
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,53.0
2021,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,53.0
2022,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,49.0
2023,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,51.0
2030,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,24.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,21.0
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,22.0
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,22.0
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,23.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,24.0
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,25.0
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,24.0
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,22.0
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,21.0
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,19.0
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,17.0
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,17.0
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,17.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,16.0
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,7.0
2021,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,6.0
2022,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,1.0
2023,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Verkehrsfläche,1.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",9.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",20.0
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",21.0
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",21.0
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",20.0
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",23.0
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",23.0
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",26.0
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",32.0
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",40.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",47.0
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",47.0
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",45.0
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",39.0
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",32.0
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",30.0
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",25.0
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",23.0
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",22.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",18.0
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",12.0
2021,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",11.0
2022,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",11.0
2023,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,"Erholungsfläche, Friedhof",13.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),87.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),83.0
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),87.0
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),87.0
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),86.0
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),83.0
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),77.0
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),67.0
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),60.0
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),52.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),43.0
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),41.0
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),35.0
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),33.0
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),34.0
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),31.0
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),33.0
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),33.0
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),30.0
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),33.0
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),34.0
2021,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),36.0
2022,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),37.0
2023,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,Siedlungsfläche (bebaut),38.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,120.0
1997,Hektar pro Tag,Berechnete jährliche Werte,,124.0
1998,Hektar pro Tag,Berechnete jährliche Werte,,131.0
1999,Hektar pro Tag,Berechnete jährliche Werte,,131.0
2000,Hektar pro Tag,Berechnete jährliche Werte,,132.0
2001,Hektar pro Tag,Berechnete jährliche Werte,,122.0
2002,Hektar pro Tag,Berechnete jährliche Werte,,109.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,99.0
2004,Hektar pro Tag,Berechnete jährliche Werte,,131.0
2005,Hektar pro Tag,Berechnete jährliche Werte,,117.0
2006,Hektar pro Tag,Berechnete jährliche Werte,,106.0
2007,Hektar pro Tag,Berechnete jährliche Werte,,97.0
2008,Hektar pro Tag,Berechnete jährliche Werte,,95.0
2009,Hektar pro Tag,Berechnete jährliche Werte,,78.0
2010,Hektar pro Tag,Berechnete jährliche Werte,,77.0
2011,Hektar pro Tag,Berechnete jährliche Werte,,74.0
2012,Hektar pro Tag,Berechnete jährliche Werte,,69.0
2013,Hektar pro Tag,Berechnete jährliche Werte,,71.0
2014,Hektar pro Tag,Berechnete jährliche Werte,,63.0
2015,Hektar pro Tag,Berechnete jährliche Werte,,62.0
2016,Hektar pro Tag,Berechnete jährliche Werte,,51.0
2017,Hektar pro Tag,Berechnete jährliche Werte,,55.0
2018,Hektar pro Tag,Berechnete jährliche Werte,,58.0
2019,Hektar pro Tag,Berechnete jährliche Werte,,45.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,55.0
2021,Hektar pro Tag,Berechnete jährliche Werte,,52.0
2022,Hektar pro Tag,Berechnete jährliche Werte,,45.0
2023,Hektar pro Tag,Berechnete jährliche Werte,,53.0
2030,Hektar pro Tag,Berechnete jährliche Werte,,
1996,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,24.0
1997,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,21.0
1998,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,23.0
1999,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,23.0
2000,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,24.0
2001,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,23.0
2002,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,22.0
2003,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,20.0
2004,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,25.0
2005,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,25.0
2006,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,24.0
2007,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,24.0
2008,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,21.0
2009,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,18.0
2010,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,21.0
2011,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,17.0
2012,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,11.0
2013,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,19.0
2014,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,23.0
2015,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,10.0
2016,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,
2017,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,8.0
2018,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,16.0
2019,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
2020,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,36.0
2021,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
2022,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,-4.0
2023,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,2.0
1996,Hektar pro Tag,Berechnete jährliche Werte,"Erholungsfläche, Friedhof",9.0
