Year,Units,Zeitreihe,Value
2005,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.0
2006,2005 = 100,Endenergieverbrauch durch Güterbeförderung,105.259
2007,2005 = 100,Endenergieverbrauch durch Güterbeförderung,108.516
2008,2005 = 100,Endenergieverbrauch durch Güterbeförderung,106.829
2009,2005 = 100,Endenergieverbrauch durch Güterbeförderung,96.961
2010,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.824
2011,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.305
2012,2005 = 100,Endenergieverbrauch durch Güterbeförderung,100.223
2013,2005 = 100,Endenergieverbrauch durch Güterbeförderung,101.05
2014,2005 = 100,Endenergieverbrauch durch Güterbeförderung,101.525
2015,2005 = 100,Endenergieverbrauch durch Güterbeförderung,102.628
2016,2005 = 100,Endenergieverbrauch durch Güterbeförderung,103.27
2017,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.29
2018,2005 = 100,Endenergieverbrauch durch Güterbeförderung,104.7
2019,2005 = 100,Endenergieverbrauch durch Güterbeförderung,105.143
2020,2005 = 100,Endenergieverbrauch durch Güterbeförderung,101.83
2030,2005 = 100,Endenergieverbrauch durch Güterbeförderung,
2005,2005 = 100,Güterbeförderungsleistung,100.0
2006,2005 = 100,Güterbeförderungsleistung,107.457
2007,2005 = 100,Güterbeförderungsleistung,112.232
2008,2005 = 100,Güterbeförderungsleistung,112.914
2009,2005 = 100,Güterbeförderungsleistung,100.475
2010,2005 = 100,Güterbeförderungsleistung,108.179
2011,2005 = 100,Güterbeförderungsleistung,108.284
2012,2005 = 100,Güterbeförderungsleistung,106.515
2013,2005 = 100,Güterbeförderungsleistung,109.191
2014,2005 = 100,Güterbeförderungsleistung,111.063
2015,2005 = 100,Güterbeförderungsleistung,113.689
2016,2005 = 100,Güterbeförderungsleistung,116.579
2017,2005 = 100,Güterbeförderungsleistung,119.437
2018,2005 = 100,Güterbeförderungsleistung,120.062
2019,2005 = 100,Güterbeförderungsleistung,121.151
2020,2005 = 100,Güterbeförderungsleistung,115.936
2030,2005 = 100,Güterbeförderungsleistung,
2005,2005 = 100,Energieverbrauch je Tonnenkilometer,100.0
2006,2005 = 100,Energieverbrauch je Tonnenkilometer,97.954
2007,2005 = 100,Energieverbrauch je Tonnenkilometer,96.689
2008,2005 = 100,Energieverbrauch je Tonnenkilometer,94.611
2009,2005 = 100,Energieverbrauch je Tonnenkilometer,96.502
2010,2005 = 100,Energieverbrauch je Tonnenkilometer,93.201
2011,2005 = 100,Energieverbrauch je Tonnenkilometer,94.479
2012,2005 = 100,Energieverbrauch je Tonnenkilometer,94.093
2013,2005 = 100,Energieverbrauch je Tonnenkilometer,92.545
2014,2005 = 100,Energieverbrauch je Tonnenkilometer,91.412
2015,2005 = 100,Energieverbrauch je Tonnenkilometer,90.271
2016,2005 = 100,Energieverbrauch je Tonnenkilometer,88.584
2017,2005 = 100,Energieverbrauch je Tonnenkilometer,87.318
2018,2005 = 100,Energieverbrauch je Tonnenkilometer,87.205
2019,2005 = 100,Energieverbrauch je Tonnenkilometer,86.787
2020,2005 = 100,Energieverbrauch je Tonnenkilometer,87.833
2030,2005 = 100,Energieverbrauch je Tonnenkilometer,
