Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.49
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.41
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.86
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.59
2013,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,
2014,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,
2015,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,
2017,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,
2019,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,23.5
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,22.75
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,22.5
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,21.3
2013,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,
2014,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,
2015,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,
2017,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,
2019,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Baden-Württemberg,code08,22.802
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Baden-Württemberg,code08,21.848
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Baden-Württemberg,code08,21.611
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Baden-Württemberg,code08,20.466
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bayern,code09,23.67
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bayern,code09,22.417
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bayern,code09,20.859
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bayern,code09,19.239
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Berlin,code11,27.187
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Berlin,code11,24.865
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Berlin,code11,24.405
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Berlin,code11,23.394
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Brandenburg,code12,24.586
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Brandenburg,code12,22.271
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Brandenburg,code12,21.481
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Brandenburg,code12,19.253
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bremen,code04,24.539
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bremen,code04,22.521
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bremen,code04,21.834
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Bremen,code04,20.648
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hamburg,code02,23.546
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hamburg,code02,25.806
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hamburg,code02,25.871
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hamburg,code02,25.913
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hessen,code06,20.201
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hessen,code06,19.264
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hessen,code06,18.931
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Hessen,code06,17.534
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Mecklenburg-Vorpommern,code13,32.314
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Mecklenburg-Vorpommern,code13,30.667
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Mecklenburg-Vorpommern,code13,30.601
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Mecklenburg-Vorpommern,code13,28.342
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Niedersachsen,code03,27.44
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Niedersachsen,code03,25.597
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Niedersachsen,code03,24.893
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Niedersachsen,code03,23.914
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Nordrhein-Westfalen,code05,19.402
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Nordrhein-Westfalen,code05,19.286
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Nordrhein-Westfalen,code05,18.984
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Nordrhein-Westfalen,code05,17.798
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Rheinland-Pfalz,code07,22.951
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Rheinland-Pfalz,code07,20.937
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Rheinland-Pfalz,code07,20.556
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Rheinland-Pfalz,code07,19.667
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,22.589
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,20.498
