Year,Units,Zeitreihe,Value
2012,Millionen,,5.6
2013,Millionen,,6.9
2014,Millionen,,11.2
2015,Millionen,,18.2
2016,Millionen,,20.4
2017,Millionen,,23.7
2018,Millionen,,24.2
2019,Millionen,,32.1
2020,Millionen,,35.6
2021,Millionen,,40.2
2022,Millionen,,44.9
2030,Millionen,,
2012,Millionen,Objekte mit Digitalisat,
2013,Millionen,Objekte mit Digitalisat,
2014,Millionen,Objekte mit Digitalisat,
2015,Millionen,Objekte mit Digitalisat,6.3
2016,Millionen,Objekte mit Digitalisat,8.1
2017,Millionen,Objekte mit Digitalisat,9.7
2018,Millionen,Objekte mit Digitalisat,9.7
2019,Millionen,Objekte mit Digitalisat,13.0
2020,Millionen,Objekte mit Digitalisat,11.9
2021,Millionen,Objekte mit Digitalisat,14.4
2022,Millionen,Objekte mit Digitalisat,16.3
2030,Millionen,Objekte mit Digitalisat,
2012,Millionen,Objekte ohne Digitalisat,
2013,Millionen,Objekte ohne Digitalisat,
2014,Millionen,Objekte ohne Digitalisat,
2015,Millionen,Objekte ohne Digitalisat,11.9
2016,Millionen,Objekte ohne Digitalisat,12.3
2017,Millionen,Objekte ohne Digitalisat,14.0
2018,Millionen,Objekte ohne Digitalisat,14.5
2019,Millionen,Objekte ohne Digitalisat,19.1
2020,Millionen,Objekte ohne Digitalisat,23.6
2021,Millionen,Objekte ohne Digitalisat,25.9
2022,Millionen,Objekte ohne Digitalisat,28.6
2030,Millionen,Objekte ohne Digitalisat,
