Year,Units,Zeitreihe,COMMENT_OBS_0,Value
1990,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,136.8
1991,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,127.87
1992,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,120.0
1993,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,126.26
1994,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,126.87
1995,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,113.43
1996,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,119.45
1997,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,108.56
1998,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,102.13
1999,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,109.0
2000,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,101.86
2001,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,99.83
2002,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,93.25
2003,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,89.04
2004,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,92.82
2005,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,91.29
2006,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,86.58
2007,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,87.36
2008,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,88.45
2009,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,82.62
2010,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,79.47
2011,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,76.9
2012,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,80.6
2013,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,77.04
2014,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,76.15
2015,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,79.83
2016,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,79.99
2017,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,75.54
2018,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,73.43
2019,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,r,75.29
2020,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,81.43
2021,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,81.65
2022,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,80.37
2023,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,,79.96
2030,2030 = 100,<u>Zeitreihe des Indikators:</u> Gesamtindikator,…,
1990,2030 = 100,Teilindikator Wälder,,92.94
1991,2030 = 100,Teilindikator Wälder,,85.38
1992,2030 = 100,Teilindikator Wälder,,81.8
1993,2030 = 100,Teilindikator Wälder,,82.27
1994,2030 = 100,Teilindikator Wälder,,83.04
1995,2030 = 100,Teilindikator Wälder,,73.26
1996,2030 = 100,Teilindikator Wälder,,80.09
1997,2030 = 100,Teilindikator Wälder,,79.99
1998,2030 = 100,Teilindikator Wälder,,72.63
1999,2030 = 100,Teilindikator Wälder,,77.07
2000,2030 = 100,Teilindikator Wälder,r,74.06
2001,2030 = 100,Teilindikator Wälder,r,74.38
2002,2030 = 100,Teilindikator Wälder,r,71.85
2003,2030 = 100,Teilindikator Wälder,r,72.14
2004,2030 = 100,Teilindikator Wälder,r,73.87
2005,2030 = 100,Teilindikator Wälder,r,74.49
2006,2030 = 100,Teilindikator Wälder,,75.61
2007,2030 = 100,Teilindikator Wälder,r,71.61
2008,2030 = 100,Teilindikator Wälder,r,77.55
2009,2030 = 100,Teilindikator Wälder,r,69.93
2010,2030 = 100,Teilindikator Wälder,r,76.23
2011,2030 = 100,Teilindikator Wälder,r,74.55
2012,2030 = 100,Teilindikator Wälder,r,82.87
2013,2030 = 100,Teilindikator Wälder,r,81.53
2014,2030 = 100,Teilindikator Wälder,,77.09
2015,2030 = 100,Teilindikator Wälder,r,82.12
2016,2030 = 100,Teilindikator Wälder,r,79.45
2017,2030 = 100,Teilindikator Wälder,r,78.73
2018,2030 = 100,Teilindikator Wälder,r,76.63
2019,2030 = 100,Teilindikator Wälder,r,79.72
2020,2030 = 100,Teilindikator Wälder,,85.13
2021,2030 = 100,Teilindikator Wälder,,88.74
2022,2030 = 100,Teilindikator Wälder,,85.09
2023,2030 = 100,Teilindikator Wälder,,83.46
2030,2030 = 100,Teilindikator Wälder,…,
1990,2030 = 100,Teilindikator Siedlungen,,93.24
1991,2030 = 100,Teilindikator Siedlungen,,87.24
1992,2030 = 100,Teilindikator Siedlungen,,83.47
1993,2030 = 100,Teilindikator Siedlungen,,91.76
1994,2030 = 100,Teilindikator Siedlungen,,87.15
