Year,Units,Sektoren,Value
2023,Millionen Hektar,,55.843
2022,Millionen Hektar,,
2024,Millionen Hektar,,
2023,Millionen Hektar,Nachhaltige bewirtschaftete Fläche,2.506
2022,Millionen Hektar,Nachhaltige bewirtschaftete Fläche,
2024,Millionen Hektar,Nachhaltige bewirtschaftete Fläche,
2023,Millionen Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,12.008
2022,Millionen Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2024,Millionen Hektar,Waldfläche nachhaltige Bewirtschaftung und Wiederherstellung,
2023,Millionen Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,41.329
2022,Millionen Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
2024,Millionen Hektar,Terrestrische Schutzgebiete und Mangrovenwälder in marinen Schutzgebieten,
