Year,Units,Anzeigen,Geschlecht,Value
2024,Anzahl,Ausgebildetes Personal,,182.0
2030,Anzahl,Ausgebildetes Personal,,1000.0
2023,Anzahl,Ausgebildetes Personal,,
2025,Anzahl,Ausgebildetes Personal,,
2024,Anzahl,Noch fehlende Ausbildungsleistung,,818.0
2023,Anzahl,Noch fehlende Ausbildungsleistung,,
2025,Anzahl,Noch fehlende Ausbildungsleistung,,
2024,Anzahl,Ausgebildetes Personal,Weiblich,33.0
2023,Anzahl,Ausgebildetes Personal,Weiblich,
2025,Anzahl,Ausgebildetes Personal,Weiblich,
2024,Anzahl,Ausgebildetes Personal,Männlich,149.0
2023,Anzahl,Ausgebildetes Personal,Männlich,
2025,Anzahl,Ausgebildetes Personal,Männlich,
