Year,Units,Zeitreihe,COMMENT_OBS_0,Value
2002,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.436
2003,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.524
2004,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.52
2005,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.439
2006,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.49
2007,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.521
2008,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.459
2009,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.581
2010,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.534
2011,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.673
2012,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.618
2013,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.708
2014,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.714
2015,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.811
2016,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.876
2017,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.936
2018,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.94
2019,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.942
2020,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,0.984
2021,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,1.041
2022,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,1.148
2023,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,1.022
2024,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,,1.171
2030,Prozent,<u>Zeitreihe des Indikators:</u> Einfuhren,…,
2002,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.356
2003,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.486
2004,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.489
2005,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.398
2006,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.446
2007,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.45
2008,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.356
2009,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.517
2010,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.472
2011,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.543
2012,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.544
2013,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.624
2014,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.658
2015,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.758
2016,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.82
2017,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.882
2018,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.894
2019,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.894
2020,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.921
2021,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.92
2022,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,1.023
2023,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,0.916
2024,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,,1.052
2030,Prozent,<u>Zusätzliche Zeitreihe:</u> Einfuhren von weiterverarbeiteten Produkten,…,
