Year,Units,Altersklasse,Geschlecht,Zeitreihe,Value
2003-2006,Prozent,3 bis unter 11 Jahre,,,12.9
2014-2017,Prozent,3 bis unter 11 Jahre,,,12.3
2003-2006,Prozent,3 bis unter 11 Jahre,Weiblich,,12.8
2014-2017,Prozent,3 bis unter 11 Jahre,Weiblich,,12.9
2003-2006,Prozent,3 bis unter 11 Jahre,Männlich,,13.1
2014-2017,Prozent,3 bis unter 11 Jahre,Männlich,,11.8
2003-2006,Prozent,11 bis unter 18 Jahre,,,18.1
2014-2017,Prozent,11 bis unter 18 Jahre,,,18.7
2003-2006,Prozent,11 bis unter 18 Jahre,Weiblich,,17.8
2014-2017,Prozent,11 bis unter 18 Jahre,Weiblich,,17.8
2003-2006,Prozent,11 bis unter 18 Jahre,Männlich,,18.3
2014-2017,Prozent,11 bis unter 18 Jahre,Männlich,,19.6
2003-2006,Prozent,3 bis unter 11 Jahre,,Übergewicht ohne Adipositas,7.7
2014-2017,Prozent,3 bis unter 11 Jahre,,Übergewicht ohne Adipositas,8.4
2003-2006,Prozent,3 bis unter 11 Jahre,Weiblich,Übergewicht ohne Adipositas,7.6
2014-2017,Prozent,3 bis unter 11 Jahre,Weiblich,Übergewicht ohne Adipositas,9.0
2003-2006,Prozent,3 bis unter 11 Jahre,Männlich,Übergewicht ohne Adipositas,7.9
2014-2017,Prozent,3 bis unter 11 Jahre,Männlich,Übergewicht ohne Adipositas,7.8
2003-2006,Prozent,11 bis unter 18 Jahre,,Übergewicht ohne Adipositas,9.8
2014-2017,Prozent,11 bis unter 18 Jahre,,Übergewicht ohne Adipositas,10.7
2003-2006,Prozent,11 bis unter 18 Jahre,Weiblich,Übergewicht ohne Adipositas,9.7
2014-2017,Prozent,11 bis unter 18 Jahre,Weiblich,Übergewicht ohne Adipositas,10.6
2003-2006,Prozent,11 bis unter 18 Jahre,Männlich,Übergewicht ohne Adipositas,10.0
2014-2017,Prozent,11 bis unter 18 Jahre,Männlich,Übergewicht ohne Adipositas,10.9
2003-2006,Prozent,3 bis unter 11 Jahre,,Adipositas,5.2
2014-2017,Prozent,3 bis unter 11 Jahre,,Adipositas,3.9
2003-2006,Prozent,3 bis unter 11 Jahre,Weiblich,Adipositas,5.2
2014-2017,Prozent,3 bis unter 11 Jahre,Weiblich,Adipositas,3.9
2003-2006,Prozent,3 bis unter 11 Jahre,Männlich,Adipositas,5.2
2014-2017,Prozent,3 bis unter 11 Jahre,Männlich,Adipositas,3.9
2003-2006,Prozent,11 bis unter 18 Jahre,,Adipositas,8.3
2014-2017,Prozent,11 bis unter 18 Jahre,,Adipositas,8.0
2003-2006,Prozent,11 bis unter 18 Jahre,Weiblich,Adipositas,8.2
2014-2017,Prozent,11 bis unter 18 Jahre,Weiblich,Adipositas,7.2
2003-2006,Prozent,11 bis unter 18 Jahre,Männlich,Adipositas,8.4
2014-2017,Prozent,11 bis unter 18 Jahre,Männlich,Adipositas,8.7
