Year,Units,Series,Art der Betreuung,Value
2006,Prozent,a) 0- bis 2-Jährige,,6.499
2007,Prozent,a) 0- bis 2-Jährige,,7.321
2008,Prozent,a) 0- bis 2-Jährige,,8.284
2009,Prozent,a) 0- bis 2-Jährige,,9.87
2010,Prozent,a) 0- bis 2-Jährige,,11.597
2011,Prozent,a) 0- bis 2-Jährige,,12.94
2012,Prozent,a) 0- bis 2-Jährige,,14.629
2013,Prozent,a) 0- bis 2-Jährige,,15.758
2014,Prozent,a) 0- bis 2-Jährige,,17.462
2015,Prozent,a) 0- bis 2-Jährige,,18.065
2016,Prozent,a) 0- bis 2-Jährige,,18.32
2017,Prozent,a) 0- bis 2-Jährige,,18.478
2018,Prozent,a) 0- bis 2-Jährige,,18.837
2019,Prozent,a) 0- bis 2-Jährige,,19.321
2020,Prozent,a) 0- bis 2-Jährige,,19.583
2021,Prozent,a) 0- bis 2-Jährige,,18.942
2022,Prozent,a) 0- bis 2-Jährige,,19.297
2023,Prozent,a) 0- bis 2-Jährige,,19.659
2024,Prozent,a) 0- bis 2-Jährige,,19.97
2030,Prozent,a) 0- bis 2-Jährige,,
2006,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,5.87
2007,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,6.521
2008,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,7.313
2009,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,8.669
2010,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,10.167
2011,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,11.344
2012,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,12.745
2013,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,13.718
2014,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,15.306
2015,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,15.919
2016,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.158
2017,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.231
2018,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.528
2019,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.914
2020,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,17.096
2021,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.461
2022,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,16.803
2023,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,17.079
2024,Prozent,a) 0- bis 2-Jährige,Kindertageseinrichtungen,17.344
2006,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,0.629
2007,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,0.8
2008,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,0.971
2009,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,1.201
2010,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,1.43
2011,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,1.596
2012,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,1.884
2013,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.04
2014,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.155
2015,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.146
2016,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.162
2017,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.247
2018,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.31
2019,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.407
2020,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.487
2021,Prozent,a) 0- bis 2-Jährige,Kindertagespflege,2.481
