Year,Units,Art des Tarifvertrags,Value
1996,Prozent,,79.074
1997,Prozent,,79.111
1998,Prozent,,73.602
1999,Prozent,,70.166
2000,Prozent,,67.682
2001,Prozent,,68.389
2002,Prozent,,67.578
2003,Prozent,,67.18
2004,Prozent,,65.425
2005,Prozent,,64.178
2006,Prozent,,63.037
2007,Prozent,,61.523
2008,Prozent,,61.181
2009,Prozent,,61.8
2010,Prozent,,60.538
2011,Prozent,,58.869
2012,Prozent,,58.294
2013,Prozent,,57.669
2014,Prozent,,57.819
2015,Prozent,,56.796
2016,Prozent,,56.374
2017,Prozent,,54.504
2018,Prozent,,54.376
2019,Prozent,,51.847
2020,Prozent,,51.059
2021,Prozent,,52.036
2022,Prozent,,50.828
2023,Prozent,,49.453
1996,Prozent,Branchen-/Flächentarifvertrag,66.992
1997,Prozent,Branchen-/Flächentarifvertrag,65.819
1998,Prozent,Branchen-/Flächentarifvertrag,64.811
1999,Prozent,Branchen-/Flächentarifvertrag,61.857
2000,Prozent,Branchen-/Flächentarifvertrag,59.935
2001,Prozent,Branchen-/Flächentarifvertrag,60.049
2002,Prozent,Branchen-/Flächentarifvertrag,59.701
2003,Prozent,Branchen-/Flächentarifvertrag,58.96
2004,Prozent,Branchen-/Flächentarifvertrag,57.562
2005,Prozent,Branchen-/Flächentarifvertrag,56.093
2006,Prozent,Branchen-/Flächentarifvertrag,54.119
2007,Prozent,Branchen-/Flächentarifvertrag,53.327
2008,Prozent,Branchen-/Flächentarifvertrag,52.546
2009,Prozent,Branchen-/Flächentarifvertrag,52.351
2010,Prozent,Branchen-/Flächentarifvertrag,52.204
2011,Prozent,Branchen-/Flächentarifvertrag,50.762
2012,Prozent,Branchen-/Flächentarifvertrag,50.019
2013,Prozent,Branchen-/Flächentarifvertrag,48.998
2014,Prozent,Branchen-/Flächentarifvertrag,49.83
2015,Prozent,Branchen-/Flächentarifvertrag,48.238
2016,Prozent,Branchen-/Flächentarifvertrag,48.274
2017,Prozent,Branchen-/Flächentarifvertrag,46.604
2018,Prozent,Branchen-/Flächentarifvertrag,45.991
2019,Prozent,Branchen-/Flächentarifvertrag,43.865
2020,Prozent,Branchen-/Flächentarifvertrag,42.839
2021,Prozent,Branchen-/Flächentarifvertrag,42.665
2022,Prozent,Branchen-/Flächentarifvertrag,40.983
2023,Prozent,Branchen-/Flächentarifvertrag,41.561
1996,Prozent,Firmen-/Haustarifvertrag,12.083
1997,Prozent,Firmen-/Haustarifvertrag,13.292
1998,Prozent,Firmen-/Haustarifvertrag,8.791
1999,Prozent,Firmen-/Haustarifvertrag,8.309
2000,Prozent,Firmen-/Haustarifvertrag,7.747
2001,Prozent,Firmen-/Haustarifvertrag,8.34
2002,Prozent,Firmen-/Haustarifvertrag,7.877
2003,Prozent,Firmen-/Haustarifvertrag,8.22
2004,Prozent,Firmen-/Haustarifvertrag,7.863
2005,Prozent,Firmen-/Haustarifvertrag,8.085
2006,Prozent,Firmen-/Haustarifvertrag,8.918
2007,Prozent,Firmen-/Haustarifvertrag,8.196
2008,Prozent,Firmen-/Haustarifvertrag,8.635
2009,Prozent,Firmen-/Haustarifvertrag,9.45
2010,Prozent,Firmen-/Haustarifvertrag,8.334
2011,Prozent,Firmen-/Haustarifvertrag,8.107
2012,Prozent,Firmen-/Haustarifvertrag,8.275
2013,Prozent,Firmen-/Haustarifvertrag,8.672
2014,Prozent,Firmen-/Haustarifvertrag,7.989
2015,Prozent,Firmen-/Haustarifvertrag,8.558
2016,Prozent,Firmen-/Haustarifvertrag,8.1
2017,Prozent,Firmen-/Haustarifvertrag,7.9
2018,Prozent,Firmen-/Haustarifvertrag,8.385
2019,Prozent,Firmen-/Haustarifvertrag,7.982
2020,Prozent,Firmen-/Haustarifvertrag,8.221
2021,Prozent,Firmen-/Haustarifvertrag,9.371
2022,Prozent,Firmen-/Haustarifvertrag,9.846
2023,Prozent,Firmen-/Haustarifvertrag,7.891
