Year,Value,Units
1990,100.0,1990 = 100
1991,96.341,1990 = 100
1992,92.389,1990 = 100
1993,91.658,1990 = 100
1994,90.199,1990 = 100
1995,89.643,1990 = 100
1996,91.028,1990 = 100
1997,88.17,1990 = 100
1998,86.168,1990 = 100
1999,83.454,1990 = 100
2000,83.228,1990 = 100
2001,84.385,1990 = 100
2002,82.654,1990 = 100
2003,81.98,1990 = 100
2004,80.111,1990 = 100
2005,79.028,1990 = 100
2006,80.108,1990 = 100
2007,76.891,1990 = 100
2008,77.534,1990 = 100
2009,72.043,1990 = 100
2010,74.278,1990 = 100
2011,72.4,1990 = 100
2012,73.219,1990 = 100
2013,74.576,1990 = 100
2014,71.347,1990 = 100
2015,72.008,1990 = 100
2016,71.646,1990 = 100
2017,70.443,1990 = 100
2018,68.098,1990 = 100
2019,63.722,1990 = 100
2020,58.527,1990 = 100
2021,60.798,1990 = 100
2022,59.789,1990 = 100
2023,53.659,1990 = 100
2024,51.821,1990 = 100
2030,,1990 = 100
2040,,1990 = 100
2045,,1990 = 100
