Year,Value,Units,GeoCode
1993,8354.095,Je 100 000 Einwohner/-innen,
1994,8062.642,Je 100 000 Einwohner/-innen,
1995,8211.891,Je 100 000 Einwohner/-innen,
1996,8165.843,Je 100 000 Einwohner/-innen,
1997,8078.662,Je 100 000 Einwohner/-innen,
1998,7923.243,Je 100 000 Einwohner/-innen,
1999,7742.636,Je 100 000 Einwohner/-innen,
2000,7691.754,Je 100 000 Einwohner/-innen,
2001,7811.684,Je 100 000 Einwohner/-innen,
2002,7977.821,Je 100 000 Einwohner/-innen,
2003,8055.254,Je 100 000 Einwohner/-innen,
2004,8137.919,Je 100 000 Einwohner/-innen,
2005,7851.874,Je 100 000 Einwohner/-innen,
2006,7757.168,Je 100 000 Einwohner/-innen,
2007,7751.507,Je 100 000 Einwohner/-innen,
2008,7556.892,Je 100 000 Einwohner/-innen,
2009,7509.802,Je 100 000 Einwohner/-innen,
2010,7384.652,Je 100 000 Einwohner/-innen,
2011,7467.62,Je 100 000 Einwohner/-innen,
2012,7465.7,Je 100 000 Einwohner/-innen,
2013,7403.6,Je 100 000 Einwohner/-innen,
2014,7530.3,Je 100 000 Einwohner/-innen,
2015,7796.6,Je 100 000 Einwohner/-innen,
2016,7754.8,Je 100 000 Einwohner/-innen,
2017,6982.4,Je 100 000 Einwohner/-innen,
2018,6710.185,Je 100 000 Einwohner/-innen,
2019,6548.365,Je 100 000 Einwohner/-innen,
2020,6385.513,Je 100 000 Einwohner/-innen,
2021,6070.42,Je 100 000 Einwohner/-innen,
2022,6762.108,Je 100 000 Einwohner/-innen,
2023,7042.139,Je 100 000 Einwohner/-innen,
2030,,Je 100 000 Einwohner/-innen,
