Year,Value,Units,Series,COMMENT_OBS_0
2012,79.0,,a) Corruption Perceptions Index in Deutschland,
2013,78.0,,a) Corruption Perceptions Index in Deutschland,
2014,79.0,,a) Corruption Perceptions Index in Deutschland,
2015,81.0,,a) Corruption Perceptions Index in Deutschland,
2016,81.0,,a) Corruption Perceptions Index in Deutschland,
2017,81.0,,a) Corruption Perceptions Index in Deutschland,
2018,80.0,,a) Corruption Perceptions Index in Deutschland,
2019,80.0,,a) Corruption Perceptions Index in Deutschland,
2020,80.0,,a) Corruption Perceptions Index in Deutschland,
2021,80.0,,a) Corruption Perceptions Index in Deutschland,
2022,79.0,,a) Corruption Perceptions Index in Deutschland,
2023,78.0,,a) Corruption Perceptions Index in Deutschland,
2024,75.0,,a) Corruption Perceptions Index in Deutschland,
2025,77.0,,a) Corruption Perceptions Index in Deutschland,
2012,,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,.
2013,16.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2014,30.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2015,30.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2016,31.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2017,32.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2018,31.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2019,34.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2020,36.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2021,36.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2022,30.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,r
2023,34.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,
2024,32.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,
2025,31.0,Anzahl,b) Anzahl der Partnerländern der deutschen Entwicklungszusammenarbeit mit verbessertem CPI,
