Year,Value,Units,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1
1999,14.9,Prozent,,,
2000,14.6,Prozent,,r,
2001,12.3,Prozent,,r,
2002,12.5,Prozent,,r,
2003,12.8,Prozent,,,
2004,12.1,Prozent,,,
2005,13.5,Prozent,,r,
2006,13.7,Prozent,,r,
2007,12.5,Prozent,,r,
2008,11.8,Prozent,,,
2009,11.1,Prozent,,,
2010,11.9,Prozent,,r,
2011,11.6,Prozent,,,
2012,10.4,Prozent,,r,
2013,9.8,Prozent,,,
2014,9.5,Prozent,,,
2015,9.8,Prozent,,r,
2016,10.3,Prozent,,,
2017,10.1,Prozent,,,
2018,10.3,Prozent,,,
2019,10.3,Prozent,,,
2020,10.2,Prozent,,|,r
2021,12.0,Prozent,,r,
2022,12.5,Prozent,,r,
2023,13.3,Prozent,,r,
2024,13.8,Prozent,,,
2025,13.3,Prozent,,p,
2030,,Prozent,,…,
