Year,Value,Units,GeoCode
1999,33.351,Prozent,
2010,41.315,Prozent,
2011,42.225,Prozent,
2012,43.433,Prozent,
2013,44.482,Prozent,
2014,45.67,Prozent,
2015,46.77,Prozent,
2016,47.879,Prozent,
2017,48.835,Prozent,
2018,49.833,Prozent,
2019,50.488,Prozent,
2020,52.3,Prozent,
2021,53.6,Prozent,
2022,53.4,Prozent,
2023,56.327,Prozent,
2000,32.997,Prozent,
2001,33.171,Prozent,
2002,33.277,Prozent,
2003,33.892,Prozent,
2004,36.22,Prozent,
2005,35.988,Prozent,
2006,36.5,Prozent,
2007,37.633,Prozent,
2008,38.766,Prozent,
2009,40.713,Prozent,
2030,,Prozent,
