Year,Value,Units,Series
2006,23.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2007,23.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2008,23.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2009,23.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2010,22.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2011,22.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2012,23.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2013,22.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2014,22.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2015,22.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2016,21.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2017,20.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2018,20.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2019,19.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2020,18.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2021,18.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2022,18.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2023,18.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2024,16.0,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap
2006,8.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2007,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2008,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2009,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2010,7.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2011,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2012,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2013,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2014,6.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2015,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2016,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2017,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2018,6.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2019,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2020,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2021,,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2022,7.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2023,6.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
2024,6.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Bereinigter Gender Pay Gap
