Year,Value,Units,Series
2008,21.2,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2009,24.0,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2010,25.9,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2011,28.0,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2012,30.0,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2013,32.6,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2014,34.8,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2015,36.9,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2016,38.8,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2017,40.4,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2018,42.1,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2019,43.5,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2020,43.7,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2021,46.2,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2022,46.3,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2030,,Prozent,"<u>Zeitreihe des Indikators:</u> Kinder, deren Väter Elterngeld bezogen haben"
2008,,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2009,6.8,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2010,7.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2011,7.4,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2012,7.7,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2013,8.2,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2014,8.6,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2015,8.8,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2016,9.1,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2017,9.3,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2018,9.5,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2019,9.6,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2020,9.6,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2021,10.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2022,10.0,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
2030,,Prozent,<u>Zusätzliche Zeitreihe:</u> Männliche Bezieher an allen genommenen Elterngeldmonaten
