Year,Value,Units
1990,18.4,Prozent
1991,17.74,Prozent
1992,19.69,Prozent
1993,20.86,Prozent
1994,23.98,Prozent
1995,23.79,Prozent
1996,21.95,Prozent
1997,23.81,Prozent
1998,20.09,Prozent
1999,27.85,Prozent
2000,28.83,Prozent
2001,29.55,Prozent
2002,27.11,Prozent
2003,31.42,Prozent
2004,32.3,Prozent
2005,30.8,Prozent
2006,34.3,Prozent
2007,31.45,Prozent
2008,33.19,Prozent
2009,33.6,Prozent
2010,32.14,Prozent
2011,38.19,Prozent
2012,35.66,Prozent
2013,36.14,Prozent
2014,34.82,Prozent
2015,30.65,Prozent
2016,37.05,Prozent
2017,35.51,Prozent
2018,44.28,Prozent
2019,42.8,Prozent
2020,41.7,Prozent
2030,,Prozent
