Year,Value,Units,Series,GeoCode,COMMENT_OBS_0
2008,100.0,2008 = 100,a) Endenergieproduktivität,,
2009,99.937,2008 = 100,a) Endenergieproduktivität,,r
2010,97.043,2008 = 100,a) Endenergieproduktivität,,r
2011,105.1,2008 = 100,a) Endenergieproduktivität,,r
2012,104.754,2008 = 100,a) Endenergieproduktivität,,r
2013,102.688,2008 = 100,a) Endenergieproduktivität,,r
2014,110.874,2008 = 100,a) Endenergieproduktivität,,r
2015,110.119,2008 = 100,a) Endenergieproduktivität,,r
2016,110.865,2008 = 100,a) Endenergieproduktivität,,r
2017,112.75,2008 = 100,a) Endenergieproduktivität,,r
2018,116.233,2008 = 100,a) Endenergieproduktivität,,r
2019,117.193,2008 = 100,a) Endenergieproduktivität,,r
2020,120.359,2008 = 100,a) Endenergieproduktivität,,r
2021,119.991,2008 = 100,a) Endenergieproduktivität,,r
2022,125.827,2008 = 100,a) Endenergieproduktivität,,r
2023,131.49,2008 = 100,a) Endenergieproduktivität,,
2024,130.55,2008 = 100,a) Endenergieproduktivität,,
2025,,2008 = 100,a) Endenergieproduktivität,,…
2030,,2008 = 100,a) Endenergieproduktivität,,…
2008,100.0,2008 = 100,b) Primärenergieverbrauch,,
2009,93.97,2008 = 100,b) Primärenergieverbrauch,,r
2010,98.302,2008 = 100,b) Primärenergieverbrauch,,r
2011,94.054,2008 = 100,b) Primärenergieverbrauch,,r
2012,94.8,2008 = 100,b) Primärenergieverbrauch,,r
2013,96.783,2008 = 100,b) Primärenergieverbrauch,,r
2014,92.136,2008 = 100,b) Primärenergieverbrauch,,r
2015,93.101,2008 = 100,b) Primärenergieverbrauch,,r
2016,93.976,2008 = 100,b) Primärenergieverbrauch,,r
2017,94.105,2008 = 100,b) Primärenergieverbrauch,,r
2018,91.774,2008 = 100,b) Primärenergieverbrauch,,r
2019,89.208,2008 = 100,b) Primärenergieverbrauch,,r
2020,82.753,2008 = 100,b) Primärenergieverbrauch,,r
2021,86.732,2008 = 100,b) Primärenergieverbrauch,,r
2022,81.405,2008 = 100,b) Primärenergieverbrauch,,r
2023,74.088,2008 = 100,b) Primärenergieverbrauch,,r
2024,73.482,2008 = 100,b) Primärenergieverbrauch,,r
2025,73.358,2008 = 100,b) Primärenergieverbrauch,,p
2030,,2008 = 100,b) Primärenergieverbrauch,,…
