Year,Value,Units
1991,30.41,1 000 Euro
1992,30.819,1 000 Euro
1993,30.351,1 000 Euro
1994,31.062,1 000 Euro
1995,31.467,1 000 Euro
1996,31.732,1 000 Euro
1997,32.303,1 000 Euro
1998,33.007,1 000 Euro
1999,33.72,1 000 Euro
2000,34.675,1 000 Euro
2001,35.216,1 000 Euro
2002,35.11,1 000 Euro
2003,34.936,1 000 Euro
2004,35.383,1 000 Euro
2005,35.748,1 000 Euro
2006,37.201,1 000 Euro
2007,38.362,1 000 Euro
2008,38.821,1 000 Euro
2009,36.796,1 000 Euro
2010,38.417,1 000 Euro
2011,39.865,1 000 Euro
2012,39.979,1 000 Euro
2013,40.024,1 000 Euro
2014,40.722,1 000 Euro
2015,41.038,1 000 Euro
2016,41.643,1 000 Euro
2017,42.614,1 000 Euro
2018,42.961,1 000 Euro
2019,43.287,1 000 Euro
2020,41.481,1 000 Euro
2021,42.985,1 000 Euro
2022,43.261,1 000 Euro
2023,42.78,1 000 Euro
2024,42.576,1 000 Euro
