Year,Value,Units
1996,79.074,Prozent
1997,79.111,Prozent
1998,73.602,Prozent
1999,70.166,Prozent
2000,67.682,Prozent
2001,68.389,Prozent
2002,67.578,Prozent
2003,67.18,Prozent
2004,65.425,Prozent
2005,64.178,Prozent
2006,63.037,Prozent
2007,61.523,Prozent
2008,61.181,Prozent
2009,61.8,Prozent
2010,60.538,Prozent
2011,58.869,Prozent
2012,58.294,Prozent
2013,57.669,Prozent
2014,57.819,Prozent
2015,56.796,Prozent
2016,56.374,Prozent
2017,54.504,Prozent
2018,54.376,Prozent
2019,51.847,Prozent
2020,51.059,Prozent
2021,52.036,Prozent
2022,50.828,Prozent
2023,49.453,Prozent
