Year,Value,Units,GeoCode
1991,2.39,Prozent,
1992,2.27,Prozent,
1993,2.21,Prozent,
1994,2.13,Prozent,
1995,2.14,Prozent,
1996,2.14,Prozent,
1997,2.19,Prozent,
1998,2.22,Prozent,
1999,2.35,Prozent,
2000,2.41,Prozent,
2001,2.4,Prozent,
2002,2.44,Prozent,
2003,2.47,Prozent,
2004,2.44,Prozent,
2005,2.44,Prozent,
2006,2.47,Prozent,
2007,2.46,Prozent,
2008,2.62,Prozent,
2009,2.74,Prozent,
2010,2.73,Prozent,
2011,2.81,Prozent,
2012,2.88,Prozent,
2013,2.84,Prozent,
2014,2.88,Prozent,
2015,2.93,Prozent,
2016,2.94,Prozent,
2017,3.05,Prozent,
2018,3.11,Prozent,
2019,3.17,Prozent,
2020,3.13,Prozent,
2021,3.13,Prozent,
2025,,Prozent,
