Indicator,Disaggregation combinations using this value
#10-1,89
#10-2,2
#11-1-a,40
#11-1-c,32
#11-2-a,3
#11-2-b,3
#11-2-c,1
#11-3-a,3
#12-1-a,1
#12-1-b,2
#12-2-a,35
#12-2-b,1
#12-3-abc,3
#12-4,1
#13-1-a,17
#13-1-b,1
#14-1-b,4
#15-1,6
#15-2,1
#16-2,4
#16-4,4
#17-1,1
#17-3,2
#2-1-a,2
#2-1-b,18
#3-1-a,9
#3-1-cd,22
#3-2-a,6
#3-2-b,1
#3-3,2
#4-1-a,51
#4-1-b,66
#4-1-c,1
#4-2-ab,38
#4-3-a,3
#4-3-b,5
#5-1-bc,2
#5-1-d,18
#5-1-f,1
#5-1-g,1
#6-1-a,1
#6-1-b,2
#7-1-ab,34
#7-2-a,17
#7-2-b,17
#8-1,5
#8-3,16
#8-5-ab,102
#9-1-a,20
