Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
1996,Hectares per day,Moving four-year average,,,,,120.0
1997,Hectares per day,Moving four-year average,,,,,121.0
1998,Hectares per day,Moving four-year average,,,,,124.0
1999,Hectares per day,Moving four-year average,,,,,126.0
2000,Hectares per day,Moving four-year average,,,,,129.0
2001,Hectares per day,Moving four-year average,,,,,128.0
2002,Hectares per day,Moving four-year average,,,,,123.0
2003,Hectares per day,Moving four-year average,,,,,115.0
2004,Hectares per day,Moving four-year average,,,,,115.0
2005,Hectares per day,Moving four-year average,,,,,114.0
2006,Hectares per day,Moving four-year average,,,,,113.0
2007,Hectares per day,Moving four-year average,,,,,113.0
2008,Hectares per day,Moving four-year average,,,,,104.0
2009,Hectares per day,Moving four-year average,,,,,94.0
2010,Hectares per day,Moving four-year average,,,,,87.0
2011,Hectares per day,Moving four-year average,,,,,81.0
2012,Hectares per day,Moving four-year average,,,,,74.0
2013,Hectares per day,Moving four-year average,,,,,73.0
2014,Hectares per day,Moving four-year average,,,,,69.0
2015,Hectares per day,Moving four-year average,,,,,66.0
2016,Hectares per day,Moving four-year average,,,,,62.0
2017,Hectares per day,Moving four-year average,,,,,58.0
2018,Hectares per day,Moving four-year average,,,,,56.0
2019,Hectares per day,Moving four-year average,,,,,52.0
2020,Hectares per day,Moving four-year average,r,,,,53.0
2021,Hectares per day,Moving four-year average,r,,,,53.0
2022,Hectares per day,Moving four-year average,r,,,,49.0
2023,Hectares per day,Moving four-year average,,,,,51.0
2030,Hectares per day,Moving four-year average,…,,,,
1996,Hectares per day,Moving four-year average,,Transport area,,,24.0
1997,Hectares per day,Moving four-year average,,Transport area,,,21.0
1998,Hectares per day,Moving four-year average,,Transport area,,,23.0
1999,Hectares per day,Moving four-year average,,Transport area,,,23.0
2000,Hectares per day,Moving four-year average,,Transport area,,,23.0
2001,Hectares per day,Moving four-year average,,Transport area,,,23.0
2002,Hectares per day,Moving four-year average,,Transport area,,,23.0
2003,Hectares per day,Moving four-year average,,Transport area,,,22.0
2004,Hectares per day,Moving four-year average,,Transport area,,,22.0
2005,Hectares per day,Moving four-year average,,Transport area,,,23.0
2006,Hectares per day,Moving four-year average,,Transport area,,,24.0
2007,Hectares per day,Moving four-year average,,Transport area,,,25.0
2008,Hectares per day,Moving four-year average,,Transport area,,,24.0
2009,Hectares per day,Moving four-year average,,Transport area,,,22.0
2010,Hectares per day,Moving four-year average,,Transport area,,,21.0
2011,Hectares per day,Moving four-year average,,Transport area,,,19.0
2012,Hectares per day,Moving four-year average,,Transport area,,,17.0
2013,Hectares per day,Moving four-year average,,Transport area,,,17.0
2014,Hectares per day,Moving four-year average,,Transport area,,,17.0
2015,Hectares per day,Moving four-year average,,Transport area,,,16.0
2016,Hectares per day,Moving four-year average,.,Transport area,,,
2017,Hectares per day,Moving four-year average,.,Transport area,,,
2018,Hectares per day,Moving four-year average,.,Transport area,,,
2019,Hectares per day,Moving four-year average,.,Transport area,,,
2020,Hectares per day,Moving four-year average,r,Transport area,,,7.0
2021,Hectares per day,Moving four-year average,r,Transport area,,,6.0
