Year,Units,Degree of urbanisation,Federal state,GeoCode,Value
2000,2000 = 100,,,,100.0
2001,2000 = 100,,,,99.177
2002,2000 = 100,,,,98.269
2003,2000 = 100,,,,97.261
2004,2000 = 100,,,,96.24
2005,2000 = 100,,,,95.29
2006,2000 = 100,,,,94.287
2007,2000 = 100,,,,93.328
2008,2000 = 100,,,,92.246
2009,2000 = 100,,,,91.382
2010,2000 = 100,,,,90.705
2011,2000 = 100,,,,90.013
2012,2000 = 100,,,,89.792
2013,2000 = 100,,,,89.64
2014,2000 = 100,,,,89.571
2015,2000 = 100,,,,90.332
2016,2000 = 100,,,,90.365
2017,2000 = 100,,,,90.203
2018,2000 = 100,,,,89.88
2019,2000 = 100,,,,89.744
2020,2000 = 100,,,,89.351
2021,2000 = 100,,,,89.066
2022,2000 = 100,,,,89.986
2000,2000 = 100,Non-rural areas,,,100.0
2001,2000 = 100,Non-rural areas,,,99.601
2002,2000 = 100,Non-rural areas,,,99.098
2003,2000 = 100,Non-rural areas,,,98.523
2004,2000 = 100,Non-rural areas,,,97.906
2005,2000 = 100,Non-rural areas,,,97.438
2006,2000 = 100,Non-rural areas,,,96.994
2007,2000 = 100,Non-rural areas,,,96.568
2008,2000 = 100,Non-rural areas,,,95.999
2009,2000 = 100,Non-rural areas,,,95.565
2010,2000 = 100,Non-rural areas,,,95.343
2011,2000 = 100,Non-rural areas,,,94.924
2012,2000 = 100,Non-rural areas,,,95.28
2013,2000 = 100,Non-rural areas,,,95.617
2014,2000 = 100,Non-rural areas,,,96.139
2015,2000 = 100,Non-rural areas,,,97.237
2016,2000 = 100,Non-rural areas,,,97.983
2017,2000 = 100,Non-rural areas,,,98.154
2018,2000 = 100,Non-rural areas,,,98.38
2019,2000 = 100,Non-rural areas,,,98.465
2020,2000 = 100,Non-rural areas,,,98.182
2021,2000 = 100,Non-rural areas,,,98.01
2022,2000 = 100,Non-rural areas,,,99.275
2000,2000 = 100,Rural areas,,,100.0
2001,2000 = 100,Rural areas,,,99.014
2002,2000 = 100,Rural areas,,,97.954
2003,2000 = 100,Rural areas,,,96.77
2004,2000 = 100,Rural areas,,,95.592
2005,2000 = 100,Rural areas,,,94.407
2006,2000 = 100,Rural areas,,,93.113
2007,2000 = 100,Rural areas,,,91.882
2008,2000 = 100,Rural areas,,,90.54
2009,2000 = 100,Rural areas,,,89.455
2010,2000 = 100,Rural areas,,,88.513
2011,2000 = 100,Rural areas,,,87.811
2012,2000 = 100,Rural areas,,,87.26
2013,2000 = 100,Rural areas,,,86.833
2014,2000 = 100,Rural areas,,,86.495
2015,2000 = 100,Rural areas,,,87.056
2016,2000 = 100,Rural areas,,,86.799
2017,2000 = 100,Rural areas,,,86.485
2018,2000 = 100,Rural areas,,,85.973
2019,2000 = 100,Rural areas,,,85.743
2020,2000 = 100,Rural areas,,,85.38
2021,2000 = 100,Rural areas,,,85.116
2022,2000 = 100,Rural areas,,,85.895
2000,2000 = 100,,Baden-Wuerttemberg,code08,100.0
2001,2000 = 100,,Baden-Wuerttemberg,code08,99.699
2002,2000 = 100,,Baden-Wuerttemberg,code08,99.336
2003,2000 = 100,,Baden-Wuerttemberg,code08,98.73
2004,2000 = 100,,Baden-Wuerttemberg,code08,98.196
2005,2000 = 100,,Baden-Wuerttemberg,code08,97.609
2006,2000 = 100,,Baden-Wuerttemberg,code08,96.852
2007,2000 = 100,,Baden-Wuerttemberg,code08,96.098
2008,2000 = 100,,Baden-Wuerttemberg,code08,95.401
2009,2000 = 100,,Baden-Wuerttemberg,code08,94.753
2010,2000 = 100,,Baden-Wuerttemberg,code08,94.268
2011,2000 = 100,,Baden-Wuerttemberg,code08,96.307
2012,2000 = 100,,Baden-Wuerttemberg,code08,93.702
2013,2000 = 100,,Baden-Wuerttemberg,code08,93.839
2014,2000 = 100,,Baden-Wuerttemberg,code08,94.042
2015,2000 = 100,,Baden-Wuerttemberg,code08,94.448
2016,2000 = 100,,Baden-Wuerttemberg,code08,95.6
2017,2000 = 100,,Baden-Wuerttemberg,code08,95.705
2018,2000 = 100,,Baden-Wuerttemberg,code08,96.025
2019,2000 = 100,,Baden-Wuerttemberg,code08,96.106
2020,2000 = 100,,Baden-Wuerttemberg,code08,96.01
2021,2000 = 100,,Baden-Wuerttemberg,code08,95.619
2022,2000 = 100,,Baden-Wuerttemberg,code08,95.503
2000,2000 = 100,,Bavaria,code09,100.0
2001,2000 = 100,,Bavaria,code09,99.681
2002,2000 = 100,,Bavaria,code09,99.206
2003,2000 = 100,,Bavaria,code09,98.622
2004,2000 = 100,,Bavaria,code09,98.002
2005,2000 = 100,,Bavaria,code09,97.402
2006,2000 = 100,,Bavaria,code09,96.59
2007,2000 = 100,,Bavaria,code09,96.018
2008,2000 = 100,,Bavaria,code09,95.224
2009,2000 = 100,,Bavaria,code09,94.377
2010,2000 = 100,,Bavaria,code09,93.64
2011,2000 = 100,,Bavaria,code09,92.196
2012,2000 = 100,,Bavaria,code09,91.008
2013,2000 = 100,,Bavaria,code09,91.059
2014,2000 = 100,,Bavaria,code09,91.247
2015,2000 = 100,,Bavaria,code09,91.354
2016,2000 = 100,,Bavaria,code09,92.071
2017,2000 = 100,,Bavaria,code09,92.23
2018,2000 = 100,,Bavaria,code09,92.307
2019,2000 = 100,,Bavaria,code09,92.443
2020,2000 = 100,,Bavaria,code09,92.325
2021,2000 = 100,,Bavaria,code09,92.031
2022,2000 = 100,,Bavaria,code09,92.013
2000,2000 = 100,,Berlin,code11,100.0
2001,2000 = 100,,Berlin,code11,99.584
2002,2000 = 100,,Berlin,code11,99.266
2003,2000 = 100,,Berlin,code11,98.716
2004,2000 = 100,,Berlin,code11,98.429
2005,2000 = 100,,Berlin,code11,98.072
2006,2000 = 100,,Berlin,code11,98.074
2007,2000 = 100,,Berlin,code11,97.845
2008,2000 = 100,,Berlin,code11,98.027
2009,2000 = 100,,Berlin,code11,97.595
2010,2000 = 100,,Berlin,code11,97.686
2011,2000 = 100,,Berlin,code11,103.121
2012,2000 = 100,,Berlin,code11,99.424
2013,2000 = 100,,Berlin,code11,100.734
2014,2000 = 100,,Berlin,code11,102.125
2015,2000 = 100,,Berlin,code11,103.558
2016,2000 = 100,,Berlin,code11,104.853
2017,2000 = 100,,Berlin,code11,106.321
2018,2000 = 100,,Berlin,code11,107.401
2019,2000 = 100,,Berlin,code11,108.297
2020,2000 = 100,,Berlin,code11,109.004
2021,2000 = 100,,Berlin,code11,108.832
2022,2000 = 100,,Berlin,code11,109.21
2000,2000 = 100,,Brandenburg,code12,100.0
2001,2000 = 100,,Brandenburg,code12,98.188
2002,2000 = 100,,Brandenburg,code12,96.516
2003,2000 = 100,,Brandenburg,code12,94.992
2004,2000 = 100,,Brandenburg,code12,93.69
2005,2000 = 100,,Brandenburg,code12,91.864
2006,2000 = 100,,Brandenburg,code12,90.282
2007,2000 = 100,,Brandenburg,code12,88.928
2008,2000 = 100,,Brandenburg,code12,87.0
2009,2000 = 100,,Brandenburg,code12,85.747
2010,2000 = 100,,Brandenburg,code12,84.862
2011,2000 = 100,,Brandenburg,code12,85.931
2012,2000 = 100,,Brandenburg,code12,83.812
2013,2000 = 100,,Brandenburg,code12,82.454
2014,2000 = 100,,Brandenburg,code12,82.118
2015,2000 = 100,,Brandenburg,code12,82.203
2016,2000 = 100,,Brandenburg,code12,82.793
2017,2000 = 100,,Brandenburg,code12,83.06
2018,2000 = 100,,Brandenburg,code12,83.199
2019,2000 = 100,,Brandenburg,code12,83.404
2020,2000 = 100,,Brandenburg,code12,82.902
2021,2000 = 100,,Brandenburg,code12,82.525
2022,2000 = 100,,Brandenburg,code12,82.123
2000,2000 = 100,,Bremen,code04,100.0
2001,2000 = 100,,Bremen,code04,99.404
2002,2000 = 100,,Bremen,code04,99.705
2003,2000 = 100,,Bremen,code04,99.354
2004,2000 = 100,,Bremen,code04,99.297
2005,2000 = 100,,Bremen,code04,98.835
2006,2000 = 100,,Bremen,code04,98.845
2007,2000 = 100,,Bremen,code04,97.788
2008,2000 = 100,,Bremen,code04,97.536
2009,2000 = 100,,Bremen,code04,97.441
2010,2000 = 100,,Bremen,code04,96.8
2011,2000 = 100,,Bremen,code04,97.751
2012,2000 = 100,,Bremen,code04,95.669
2013,2000 = 100,,Bremen,code04,96.049
2014,2000 = 100,,Bremen,code04,96.024
2015,2000 = 100,,Bremen,code04,96.681
2016,2000 = 100,,Bremen,code04,97.69
2017,2000 = 100,,Bremen,code04,98.631
2018,2000 = 100,,Bremen,code04,99.108
2019,2000 = 100,,Bremen,code04,99.325
2020,2000 = 100,,Bremen,code04,98.907
2021,2000 = 100,,Bremen,code04,98.673
2022,2000 = 100,,Bremen,code04,97.758
2000,2000 = 100,,Hamburg,code02,100.0
2001,2000 = 100,,Hamburg,code02,100.416
2002,2000 = 100,,Hamburg,code02,99.394
2003,2000 = 100,,Hamburg,code02,98.788
2004,2000 = 100,,Hamburg,code02,97.681
2005,2000 = 100,,Hamburg,code02,97.078
2006,2000 = 100,,Hamburg,code02,97.018
2007,2000 = 100,,Hamburg,code02,97.52
2008,2000 = 100,,Hamburg,code02,97.365
2009,2000 = 100,,Hamburg,code02,97.029
2010,2000 = 100,,Hamburg,code02,97.269
2011,2000 = 100,,Hamburg,code02,101.874
