Year,Units,COMMENT_OBS_0,Time series,Value
2015,2015 = 100,r,Final energy consumption for the transport of goods,100.0
2016,2015 = 100,r,Final energy consumption for the transport of goods,101.967
2017,2015 = 100,r,Final energy consumption for the transport of goods,104.317
2018,2015 = 100,r,Final energy consumption for the transport of goods,105.875
2019,2015 = 100,r,Final energy consumption for the transport of goods,104.813
2020,2015 = 100,r,Final energy consumption for the transport of goods,101.204
2021,2015 = 100,r,Final energy consumption for the transport of goods,103.64
2022,2015 = 100,r,Final energy consumption for the transport of goods,101.19
2023,2015 = 100,r,Final energy consumption for the transport of goods,95.511
2024,2015 = 100,,Final energy consumption for the transport of goods,95.027
2030,2015 = 100,…,Final energy consumption for the transport of goods,
2015,2015 = 100,,Goods transport performance,100.0
2016,2015 = 100,,Goods transport performance,104.009
2017,2015 = 100,,Goods transport performance,106.532
2018,2015 = 100,,Goods transport performance,106.794
2019,2015 = 100,,Goods transport performance,107.315
2020,2015 = 100,,Goods transport performance,103.279
2021,2015 = 100,,Goods transport performance,108.428
2022,2015 = 100,,Goods transport performance,107.898
2023,2015 = 100,r,Goods transport performance,102.488
2024,2015 = 100,,Goods transport performance,101.987
2030,2015 = 100,…,Goods transport performance,
2015,2015 = 100,,Energy consumption per tonne-kilometre,100.0
2016,2015 = 100,r,Energy consumption per tonne-kilometre,98.037
2017,2015 = 100,r,Energy consumption per tonne-kilometre,97.921
2018,2015 = 100,r,Energy consumption per tonne-kilometre,99.139
2019,2015 = 100,r,Energy consumption per tonne-kilometre,97.668
2020,2015 = 100,r,Energy consumption per tonne-kilometre,97.99
2021,2015 = 100,r,Energy consumption per tonne-kilometre,95.584
2022,2015 = 100,r,Energy consumption per tonne-kilometre,93.782
2023,2015 = 100,r,Energy consumption per tonne-kilometre,93.193
2024,2015 = 100,,Energy consumption per tonne-kilometre,93.176
2030,2015 = 100,…,Energy consumption per tonne-kilometre,
