Year,Units,Series,Federal state,GeoCode,Value
2005,Number,Locations of organisation registered with EMAS,,,1958.0
2006,Number,Locations of organisation registered with EMAS,,,1985.0
2007,Number,Locations of organisation registered with EMAS,,,1956.0
2008,Number,Locations of organisation registered with EMAS,,,1917.0
2009,Number,Locations of organisation registered with EMAS,,,1906.0
2010,Number,Locations of organisation registered with EMAS,,,1913.0
2011,Number,Locations of organisation registered with EMAS,,,1909.0
2012,Number,Locations of organisation registered with EMAS,,,1828.0
2013,Number,Locations of organisation registered with EMAS,,,1862.0
2014,Number,Locations of organisation registered with EMAS,,,1906.0
2015,Number,Locations of organisation registered with EMAS,,,2004.0
2016,Number,Locations of organisation registered with EMAS,,,2073.0
2017,Number,Locations of organisation registered with EMAS,,,2182.0
2018,Number,Locations of organisation registered with EMAS,,,2167.0
2019,Number,Locations of organisation registered with EMAS,,,2176.0
2020,Number,Locations of organisation registered with EMAS,,,2184.0
2021,Number,Locations of organisation registered with EMAS,,,2290.0
2022,Number,Locations of organisation registered with EMAS,,,2361.0
2023,Number,Locations of organisation registered with EMAS,,,2455.0
2030,Number,Locations of organisation registered with EMAS,,,
2010,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,493.0
2011,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,498.0
2012,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,508.0
2013,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,522.0
2014,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,538.0
2015,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,578.0
2016,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,582.0
2017,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,574.0
2018,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,591.0
2019,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,594.0
2020,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,597.0
2021,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,652.0
2022,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,655.0
2023,Number,Locations of organisation registered with EMAS,Baden-Wuerttemberg,code08,767.0
2010,Number,Locations of organisation registered with EMAS,Bavaria,code09,385.0
2011,Number,Locations of organisation registered with EMAS,Bavaria,code09,391.0
2012,Number,Locations of organisation registered with EMAS,Bavaria,code09,388.0
2013,Number,Locations of organisation registered with EMAS,Bavaria,code09,391.0
2014,Number,Locations of organisation registered with EMAS,Bavaria,code09,421.0
2015,Number,Locations of organisation registered with EMAS,Bavaria,code09,466.0
2016,Number,Locations of organisation registered with EMAS,Bavaria,code09,475.0
2017,Number,Locations of organisation registered with EMAS,Bavaria,code09,524.0
2018,Number,Locations of organisation registered with EMAS,Bavaria,code09,502.0
2019,Number,Locations of organisation registered with EMAS,Bavaria,code09,478.0
2020,Number,Locations of organisation registered with EMAS,Bavaria,code09,502.0
2021,Number,Locations of organisation registered with EMAS,Bavaria,code09,535.0
2022,Number,Locations of organisation registered with EMAS,Bavaria,code09,559.0
2023,Number,Locations of organisation registered with EMAS,Bavaria,code09,568.0
2010,Number,Locations of organisation registered with EMAS,Berlin,code11,53.0
2011,Number,Locations of organisation registered with EMAS,Berlin,code11,53.0
2012,Number,Locations of organisation registered with EMAS,Berlin,code11,48.0
2013,Number,Locations of organisation registered with EMAS,Berlin,code11,56.0
2014,Number,Locations of organisation registered with EMAS,Berlin,code11,50.0
2015,Number,Locations of organisation registered with EMAS,Berlin,code11,52.0
2016,Number,Locations of organisation registered with EMAS,Berlin,code11,57.0
2017,Number,Locations of organisation registered with EMAS,Berlin,code11,61.0
2018,Number,Locations of organisation registered with EMAS,Berlin,code11,63.0
2019,Number,Locations of organisation registered with EMAS,Berlin,code11,65.0
2020,Number,Locations of organisation registered with EMAS,Berlin,code11,68.0
2021,Number,Locations of organisation registered with EMAS,Berlin,code11,71.0
2022,Number,Locations of organisation registered with EMAS,Berlin,code11,78.0
2023,Number,Locations of organisation registered with EMAS,Berlin,code11,79.0
2010,Number,Locations of organisation registered with EMAS,Brandenburg,code12,52.0
2011,Number,Locations of organisation registered with EMAS,Brandenburg,code12,47.0
2012,Number,Locations of organisation registered with EMAS,Brandenburg,code12,36.0
2013,Number,Locations of organisation registered with EMAS,Brandenburg,code12,40.0
2014,Number,Locations of organisation registered with EMAS,Brandenburg,code12,39.0
2015,Number,Locations of organisation registered with EMAS,Brandenburg,code12,39.0
2016,Number,Locations of organisation registered with EMAS,Brandenburg,code12,47.0
2017,Number,Locations of organisation registered with EMAS,Brandenburg,code12,60.0
2018,Number,Locations of organisation registered with EMAS,Brandenburg,code12,61.0
2019,Number,Locations of organisation registered with EMAS,Brandenburg,code12,64.0
2020,Number,Locations of organisation registered with EMAS,Brandenburg,code12,64.0
2021,Number,Locations of organisation registered with EMAS,Brandenburg,code12,66.0
2022,Number,Locations of organisation registered with EMAS,Brandenburg,code12,67.0
2023,Number,Locations of organisation registered with EMAS,Brandenburg,code12,62.0
2010,Number,Locations of organisation registered with EMAS,Bremen,code04,26.0
2011,Number,Locations of organisation registered with EMAS,Bremen,code04,26.0
2012,Number,Locations of organisation registered with EMAS,Bremen,code04,28.0
2013,Number,Locations of organisation registered with EMAS,Bremen,code04,29.0
2014,Number,Locations of organisation registered with EMAS,Bremen,code04,28.0
2015,Number,Locations of organisation registered with EMAS,Bremen,code04,30.0
2016,Number,Locations of organisation registered with EMAS,Bremen,code04,29.0
2017,Number,Locations of organisation registered with EMAS,Bremen,code04,30.0
2018,Number,Locations of organisation registered with EMAS,Bremen,code04,31.0
2019,Number,Locations of organisation registered with EMAS,Bremen,code04,31.0
2020,Number,Locations of organisation registered with EMAS,Bremen,code04,30.0
2021,Number,Locations of organisation registered with EMAS,Bremen,code04,27.0
2022,Number,Locations of organisation registered with EMAS,Bremen,code04,28.0
2023,Number,Locations of organisation registered with EMAS,Bremen,code04,44.0
2010,Number,Locations of organisation registered with EMAS,Hamburg,code02,37.0
2011,Number,Locations of organisation registered with EMAS,Hamburg,code02,36.0
2012,Number,Locations of organisation registered with EMAS,Hamburg,code02,33.0
2013,Number,Locations of organisation registered with EMAS,Hamburg,code02,34.0
2014,Number,Locations of organisation registered with EMAS,Hamburg,code02,38.0
2015,Number,Locations of organisation registered with EMAS,Hamburg,code02,37.0
2016,Number,Locations of organisation registered with EMAS,Hamburg,code02,37.0
2017,Number,Locations of organisation registered with EMAS,Hamburg,code02,51.0
2018,Number,Locations of organisation registered with EMAS,Hamburg,code02,58.0
2019,Number,Locations of organisation registered with EMAS,Hamburg,code02,58.0
2020,Number,Locations of organisation registered with EMAS,Hamburg,code02,59.0
2021,Number,Locations of organisation registered with EMAS,Hamburg,code02,62.0
2022,Number,Locations of organisation registered with EMAS,Hamburg,code02,64.0
2023,Number,Locations of organisation registered with EMAS,Hamburg,code02,67.0
2010,Number,Locations of organisation registered with EMAS,Hesse,code06,138.0
2011,Number,Locations of organisation registered with EMAS,Hesse,code06,139.0
2012,Number,Locations of organisation registered with EMAS,Hesse,code06,140.0
2013,Number,Locations of organisation registered with EMAS,Hesse,code06,132.0
2014,Number,Locations of organisation registered with EMAS,Hesse,code06,134.0
2015,Number,Locations of organisation registered with EMAS,Hesse,code06,144.0
2016,Number,Locations of organisation registered with EMAS,Hesse,code06,159.0
2017,Number,Locations of organisation registered with EMAS,Hesse,code06,159.0
2018,Number,Locations of organisation registered with EMAS,Hesse,code06,142.0
2019,Number,Locations of organisation registered with EMAS,Hesse,code06,126.0
2020,Number,Locations of organisation registered with EMAS,Hesse,code06,132.0
2021,Number,Locations of organisation registered with EMAS,Hesse,code06,148.0
2022,Number,Locations of organisation registered with EMAS,Hesse,code06,145.0
2023,Number,Locations of organisation registered with EMAS,Hesse,code06,146.0
2010,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,10.0
2011,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,10.0
2012,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,10.0
2013,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,10.0
2014,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,10.0
2015,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,7.0
2016,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,8.0
2017,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,8.0
2018,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,6.0
2019,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,3.0
2020,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,3.0
2021,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,2.0
2022,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,2.0
2023,Number,Locations of organisation registered with EMAS,Mecklenburg Western Pomerania,code13,4.0
2010,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,91.0
2011,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,95.0
2012,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,82.0
2013,Number,Locations of organisation registered with EMAS,Lower Saxony,code03,82.0
