Year,Units,Series,Value
2015,Percentage,a) Sustainability in procurement procedures,
2016,Percentage,a) Sustainability in procurement procedures,
2017,Percentage,a) Sustainability in procurement procedures,
2018,Percentage,a) Sustainability in procurement procedures,
2019,Percentage,a) Sustainability in procurement procedures,
2020,Percentage,a) Sustainability in procurement procedures,
2021,Percentage,a) Sustainability in procurement procedures,12.6
2022,Percentage,a) Sustainability in procurement procedures,12.8
2023,Percentage,a) Sustainability in procurement procedures,14.0
2026,Percentage,a) Sustainability in procurement procedures,
2015,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,100.0
2016,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.954
2017,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.679
2018,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,99.854
2019,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,100.427
2020,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,101.93
2021,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,102.998
2022,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,101.606
2023,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2026,2015 = 100,b) CO₂ emissions of commercially available vehicles in the public sector,
2015,Percentage,c) Sustainable textile procurement,
2016,Percentage,c) Sustainable textile procurement,
2017,Percentage,c) Sustainable textile procurement,
2018,Percentage,c) Sustainable textile procurement,
2019,Percentage,c) Sustainable textile procurement,
2020,Percentage,c) Sustainable textile procurement,
2021,Percentage,c) Sustainable textile procurement,
2022,Percentage,c) Sustainable textile procurement,
2023,Percentage,c) Sustainable textile procurement,0.0
2026,Percentage,c) Sustainable textile procurement,
