Year,Units,Time series,Value
1999,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.918
2000,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.832
2001,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.958
2002,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,4.182
2003,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.741
2004,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.582
2005,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.577
2006,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.515
2007,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.524
2008,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.686
2009,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.602
2010,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.754
2011,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.785
2012,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.447
2013,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.41
2014,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.352
2015,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.146
2016,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,2.954
2017,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.191
2018,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.145
2019,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.17
2020,Miligrams per litre,Nitrogen input in coastal and marine waters of the Baltic Sea,3.071
1999,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,4.131
2000,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,4.022
2001,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.833
2002,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.76
2003,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.617
2004,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.583
2005,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.552
2006,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.558
2007,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.481
2008,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.446
2009,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.381
2010,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.385
2011,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.296
2012,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.169
2013,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.157
2014,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,3.086
2015,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.978
2016,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.921
2017,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.975
2018,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.838
2019,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.815
2020,Miligrams per litre,Nitrogen input in coastal and marine waters of the North Sea,2.756
