Year,Units,Sector,Value
2023,Million hectares,,55.843
2022,Million hectares,,
2024,Million hectares,,
2023,Million hectares,Sustainably farmed area,2.506
2022,Million hectares,Sustainably farmed area,
2024,Million hectares,Sustainably farmed area,
2023,Million hectares,Forest area Sustainable management and restoration,12.008
2022,Million hectares,Forest area Sustainable management and restoration,
2024,Million hectares,Forest area Sustainable management and restoration,
2023,Million hectares,Terrestrial protected areas and mangrove forests in marine protected areas,41.329
2022,Million hectares,Terrestrial protected areas and mangrove forests in marine protected areas,
2024,Million hectares,Terrestrial protected areas and mangrove forests in marine protected areas,
