Year,Units,Time series,Federal state,GeoCode,Value
2005,Number,,,,140519.0
2006,Number,,,,141289.0
2007,Number,,,,136087.0
2008,Number,,,,140832.0
2009,Number,,,,147152.0
2010,Number,,,,153690.0
2011,Number,,,,158557.0
2012,Number,,,,170618.0
2013,Number,,,,185787.0
2014,Number,,,,200349.0
2015,Number,,,,215258.0
2016,Number,,,,230689.0
2017,Number,,,,247436.0
2018,Number,,,,267250.0
2019,Number,,,,285450.0
2020,Number,,,,298149.0
2021,Number,,,,316001.0
2022,Number,,,,335016.0
2023,Number,,,,348976.0
2006,Number,,Baden-Wuerttemberg,code08,20133.0
2007,Number,,Baden-Wuerttemberg,code08,19383.0
2008,Number,,Baden-Wuerttemberg,code08,19840.0
2009,Number,,Baden-Wuerttemberg,code08,20914.0
2010,Number,,Baden-Wuerttemberg,code08,21886.0
2011,Number,,Baden-Wuerttemberg,code08,21857.0
2012,Number,,Baden-Wuerttemberg,code08,24175.0
2013,Number,,Baden-Wuerttemberg,code08,26218.0
2014,Number,,Baden-Wuerttemberg,code08,28199.0
2015,Number,,Baden-Wuerttemberg,code08,30019.0
2016,Number,,Baden-Wuerttemberg,code08,32126.0
2017,Number,,Baden-Wuerttemberg,code08,32564.0
2018,Number,,Baden-Wuerttemberg,code08,32221.0
2019,Number,,Baden-Wuerttemberg,code08,31590.0
2020,Number,,Baden-Wuerttemberg,code08,30143.0
2021,Number,,Baden-Wuerttemberg,code08,30127.0
2022,Number,,Baden-Wuerttemberg,code08,31266.0
2023,Number,,Baden-Wuerttemberg,code08,31761.0
2006,Number,,Bavaria,code09,13978.0
2007,Number,,Bavaria,code09,13633.0
2008,Number,,Bavaria,code09,14130.0
2009,Number,,Bavaria,code09,14747.0
2010,Number,,Bavaria,code09,15618.0
2011,Number,,Bavaria,code09,16297.0
2012,Number,,Bavaria,code09,17742.0
2013,Number,,Bavaria,code09,20459.0
2014,Number,,Bavaria,code09,22184.0
2015,Number,,Bavaria,code09,24310.0
2016,Number,,Bavaria,code09,26347.0
2017,Number,,Bavaria,code09,30357.0
2018,Number,,Bavaria,code09,34357.0
2019,Number,,Bavaria,code09,37939.0
2020,Number,,Bavaria,code09,42253.0
2021,Number,,Bavaria,code09,47700.0
2022,Number,,Bavaria,code09,53851.0
2023,Number,,Bavaria,code09,59560.0
2006,Number,,Berlin,code11,9715.0
2007,Number,,Berlin,code11,10005.0
2008,Number,,Berlin,code11,10531.0
2009,Number,,Berlin,code11,10914.0
2010,Number,,Berlin,code11,11647.0
2011,Number,,Berlin,code11,11931.0
2012,Number,,Berlin,code11,12536.0
2013,Number,,Berlin,code11,13498.0
2014,Number,,Berlin,code11,14509.0
2015,Number,,Berlin,code11,15767.0
2016,Number,,Berlin,code11,17179.0
2017,Number,,Berlin,code11,19899.0
2018,Number,,Berlin,code11,22086.0
2019,Number,,Berlin,code11,24341.0
2020,Number,,Berlin,code11,25828.0
2021,Number,,Berlin,code11,28264.0
2022,Number,,Berlin,code11,29458.0
2023,Number,,Berlin,code11,30553.0
2006,Number,,Brandenburg,code12,2568.0
2007,Number,,Brandenburg,code12,2630.0
2008,Number,,Brandenburg,code12,2675.0
2009,Number,,Brandenburg,code12,2808.0
2010,Number,,Brandenburg,code12,2862.0
2011,Number,,Brandenburg,code12,3045.0
2012,Number,,Brandenburg,code12,3374.0
2013,Number,,Brandenburg,code12,3522.0
2014,Number,,Brandenburg,code12,3754.0
2015,Number,,Brandenburg,code12,4022.0
2016,Number,,Brandenburg,code12,4418.0
2017,Number,,Brandenburg,code12,4947.0
2018,Number,,Brandenburg,code12,5378.0
2019,Number,,Brandenburg,code12,5905.0
2020,Number,,Brandenburg,code12,6244.0
2021,Number,,Brandenburg,code12,6988.0
2022,Number,,Brandenburg,code12,8362.0
2023,Number,,Brandenburg,code12,9373.0
2006,Number,,Bremen,code04,3789.0
2007,Number,,Bremen,code04,3644.0
2008,Number,,Bremen,code04,3552.0
2009,Number,,Bremen,code04,3467.0
2010,Number,,Bremen,code04,3350.0
2011,Number,,Bremen,code04,3378.0
2012,Number,,Bremen,code04,3430.0
2013,Number,,Bremen,code04,3583.0
2014,Number,,Bremen,code04,3741.0
2015,Number,,Bremen,code04,3855.0
2016,Number,,Bremen,code04,4047.0
2017,Number,,Bremen,code04,4533.0
2018,Number,,Bremen,code04,4716.0
2019,Number,,Bremen,code04,5144.0
2020,Number,,Bremen,code04,5349.0
2021,Number,,Bremen,code04,5526.0
2022,Number,,Bremen,code04,5770.0
2023,Number,,Bremen,code04,6002.0
2006,Number,,Hamburg,code02,5311.0
2007,Number,,Hamburg,code02,4970.0
2008,Number,,Hamburg,code02,5028.0
2009,Number,,Hamburg,code02,5202.0
2010,Number,,Hamburg,code02,5384.0
2011,Number,,Hamburg,code02,5611.0
2012,Number,,Hamburg,code02,5981.0
2013,Number,,Hamburg,code02,6189.0
2014,Number,,Hamburg,code02,6366.0
2015,Number,,Hamburg,code02,6741.0
2016,Number,,Hamburg,code02,7205.0
2017,Number,,Hamburg,code02,7685.0
2018,Number,,Hamburg,code02,8619.0
2019,Number,,Hamburg,code02,9058.0
2020,Number,,Hamburg,code02,9345.0
2021,Number,,Hamburg,code02,10293.0
2022,Number,,Hamburg,code02,11075.0
2023,Number,,Hamburg,code02,11532.0
2006,Number,,Hesse,code06,14955.0
2007,Number,,Hesse,code06,13532.0
2008,Number,,Hesse,code06,15441.0
2009,Number,,Hesse,code06,17026.0
2010,Number,,Hesse,code06,18427.0
2011,Number,,Hesse,code06,18524.0
2012,Number,,Hesse,code06,19593.0
2013,Number,,Hesse,code06,21041.0
2014,Number,,Hesse,code06,22324.0
2015,Number,,Hesse,code06,23542.0
2016,Number,,Hesse,code06,24605.0
2017,Number,,Hesse,code06,25754.0
2018,Number,,Hesse,code06,27467.0
2019,Number,,Hesse,code06,28777.0
2020,Number,,Hesse,code06,29788.0
2021,Number,,Hesse,code06,30299.0
2022,Number,,Hesse,code06,31334.0
2023,Number,,Hesse,code06,31933.0
2006,Number,,Mecklenburg Western Pomerania,code13,1194.0
2007,Number,,Mecklenburg Western Pomerania,code13,1207.0
2008,Number,,Mecklenburg Western Pomerania,code13,1195.0
2009,Number,,Mecklenburg Western Pomerania,code13,1291.0
2010,Number,,Mecklenburg Western Pomerania,code13,1390.0
2011,Number,,Mecklenburg Western Pomerania,code13,1405.0
2012,Number,,Mecklenburg Western Pomerania,code13,1442.0
2013,Number,,Mecklenburg Western Pomerania,code13,1618.0
2014,Number,,Mecklenburg Western Pomerania,code13,1759.0
2015,Number,,Mecklenburg Western Pomerania,code13,1972.0
2016,Number,,Mecklenburg Western Pomerania,code13,2303.0
2017,Number,,Mecklenburg Western Pomerania,code13,2775.0
2018,Number,,Mecklenburg Western Pomerania,code13,3115.0
2019,Number,,Mecklenburg Western Pomerania,code13,3247.0
2020,Number,,Mecklenburg Western Pomerania,code13,3352.0
2021,Number,,Mecklenburg Western Pomerania,code13,3477.0
2022,Number,,Mecklenburg Western Pomerania,code13,3555.0
2023,Number,,Mecklenburg Western Pomerania,code13,3404.0
2006,Number,,Lower Saxony,code03,10759.0
2007,Number,,Lower Saxony,code03,10237.0
2008,Number,,Lower Saxony,code03,10357.0
2009,Number,,Lower Saxony,code03,10402.0
